Information here is subject to the policy as set forth by Gale in the terms and conditions found here: https://support.gale.com/terms/

Search Terms, "Directory Title ("Encyclopedia of Associations: National Organizations of the U.S.") And Edition (57)  LIMITS: Database (Encyclopedia of Associations: National Organizations of the U.S...."

Document Number,Entity Name,Main Address - Street1,Main Address - Street2,Main Address - Street3,Main Address - Street4,Main Address - Street5,Composed City,City,State Code,Zip Code,Country,Telephone Area Code,Telephone Number,Toll Free Number,Fax Number,Organization Email Address,Organization Website URL,SIC Code,SIC Description,SIC Code - collectIndustries Served,SIC Description - Industries Served,Year Founded,Number of Employees,Budget,Number of Members,Library Maintained,Awards Bestowed,Award Type,Publications Issued,Publication Type,Publication Frequency,Advertising Accepted,Conventions/Meetings Held,Conventions/Meeting Type,Exhibits,Subject Descriptor,Section Number,Section Heading,Officer 1,Officer 2,Officer 3,Officer 4,Officer 5
"WEANUN199501135","International Black Aerospace Council (IBAC)","7120 Sugar Maple Dr.","","","","","Irving, TX 75063-5522 USA","Irving","TX","75063-5522","United States","972","(972)373-9551","","(972)373-9551","","http://www.blackaerospace.com","","","4581; 8733","Airports, Flying Fields and Services; Noncommercial Research Organizations","1996","","","","None Reported","None Reported","","","","","","None Reported","","","Aerospace; African-American","01","Trade, Business, and Commercial Organizations","Lt. Col. Tim Eddins","","","",""
"FRECYY963924341","International Bond and Share Society (IBSS)","116 Parklane Dr.","","","","","San Antonio, TX 78212-1748 USA","San Antonio","TX","78212-1748","United States","","","","","","http://scripophily.org; http://www.facebook.com/Scriposociety","","","7699","Repair Services Nec","1978","","","600","None Reported","None Reported","","","","","","None Reported","","","Collectors","13","Hobby and Avocational Organizations","Mr. Max Hensley","","","",""
"MSBNJC353998762","International Convention of Faith Ministries (ICFM)","5500 Woodland Park Blvd.","","","","","Arlington, TX 76013 USA","Arlington","TX","76013","United States","817","(817)451-9620","877-348-4236","(817)451-9621","info@icfm.org","http://www.icfm.org; http://www.facebook.com/ICFM.International; http://twitter.com/icfminc","","","8299; 8322","Schools and Educational Services Nec; Individual and Family Services","1979","4","","1000","None Reported","None Reported","","","","","","None Reported","","","Christian","11","Religious Organizations","Larry Ollison","","","",""
"QGOJYV215119197","International Council on Nanotechnology (ICON)","6100 Main St., MS-63, Space Science Bldg., Rm. 337","","","","","Houston, TX 77005-1892 USA","Houston","TX","77005-1892","United States","713","(713)348-4195; (713)348-6215","","","tchamp@rice.edu","http://cben.rice.edu/industry/icon.aspx","","","8731","Commercial Physical Research","2004","","","","None Reported","None Reported","","","","","","None Reported","","","Technology; Environmental Health; Health","04","Engineering, Technological, and Natural and Social Sciences Organizations","","","","",""
"NNAJJR181026863","International Facility Management Association (IFMA)","800 Gessner Rd., Ste. 900","","","","","Houston, TX 77024-4257 USA","Houston","TX","77024-4257","United States","713","(713)623-4362","","(713)623-6124","ifma@ifma.org","http://www.ifma.org; http://www.facebook.com/InternationalFacilityManagementAssociation; http://twitter.com/IFMA","2741; 2721","Miscellaneous Publishing; Periodicals","8741","Management Services","1980","44","523607","24000","None Reported","Yes","Recognition; Award","","Proceedings; Survey; Magazine","annual; bimonthly","No","Yes","conference","Yes","Property Management","01","Trade, Business, and Commercial Organizations","Tony Keane, CAE","","","",""
"FXPFMT034696942","International Federation of Postcard Dealers (IFPD)","PO Box 749","","","","","Alamo, TX 78516 USA","Alamo","TX","78516","United States","956","(956)787-1717","","","postcardgranny@aol.com","http://www.ifpd.info","","","5999","Miscellaneous Retail Stores Nec","1979","9","10000","","None Reported","None Reported","","","","","","Yes","meeting","","Collectors; Postcards; Collectibles","13","Hobby and Avocational Organizations","Wally Jung","","","",""
"HYOUHI022720639","International Gas Turbine Institute (IGTI)","11757 Katy Fwy., Ste. 380","","","","","Houston, TX 77079 USA","Houston","TX","77079","United States","281","(281)780-9125","","","igti@asme.org","http://community.asme.org/international_gas_turbine_institute_igti/default.aspx; http://www.facebook.com/ASMEIGTI; http://twitter.com/IGTI","","","8711","Engineering Services","1947","9","2000000","","None Reported","Yes","Recognition; Monetary","","Newsletter","quarterly","Yes","Yes","conference","Yes","Engineering","04","Engineering, Technological, and Natural and Social Sciences Organizations","","","","",""
"CILSMM473622948","International HACCP Alliance","120 Rosethal Ctr., 2471 TAMU","","","","","College Station, TX 77843-2471 USA","College Station","TX","77843-2471","United States","979","(979)862-3643","","(979)862-3075","kbgehring@tamu.edu","http://www.haccpalliance.org","","","0259","Poultry and Eggs Nec","1994","5","234379","120","None Reported","None Reported","","","","","","None Reported","","","Poultry; Food; Food Service; Livestock; Meat; Public Health; Safety","02","Environmental and Agricultural Organizations","Rosemary Mucklow","","","",""
"QXVKOJ142356496","International Institute of Synthetic Rubber Producers (IISRP)","3535 Briarpark Dr., Ste. 260","","","","","Houston, TX 77042 USA","Houston","TX","77042","United States","713","(713)783-7511","","(713)783-7253","info@iisrp.com","http://www.iisrp.com; http://www.linkedin.com/company/16189560","","","2822","Synthetic Rubber","1960","4","1000000","","None Reported","None Reported","","","Proceedings; Report; Manual; Directory","3/year; annual; latest edition: 2015 edition; latest edition; 15th edition; 2015","No","None Reported","","","Rubber","01","Trade, Business, and Commercial Organizations","Robin Boyd","","","",""
"GYBOYA147232553","International Order of the Golden Rule (IOGR)","3520 Executive Center Dr., Ste. 300","","","","","Austin, TX 78731 USA","Austin","TX","78731","United States","512","(512)334-5504","800-637-8030","(512)334-5514","info@ogr.org","http://www.ogr.org; http://www.facebook.com/GoldenRuleFH; http://twitter.com/GoldenRuleFH","","","8322","Individual and Family Services","1926","18","847653","","None Reported","Yes","Monetary; Scholarship; Recognition","","Manual","annual","No","Yes","meeting; tradeshow","Yes","Mortuary Services","01","Trade, Business, and Commercial Organizations","Charles A. Castiglia","","","",""
"VTOLXV083680847","International Public Debate Association (IPDA)","c/o Joe Ganakos","Lee College","","","","Baytown, TX 77520 USA","Baytown","TX","77520","United States","703; 281","(703)273-7982; (281)425-6502","","","","http://www.ipdadebate.info; http://www.lee.edu; http://www.facebook.com/International-Public-Debate-Association-122131364552107","","","8999","Services Nec","1997","","","","None Reported","Yes","Award; Recognition","","","","","None Reported","","","Public Speaking","05","Educational Organizations","Web Drake","","","",""
"DQWSPD528102452","International Society for Reef Studies (ISRS)","c/o Schneider Group Meeting and Marketing Services","5400 Bosque Blvd., Ste. 680","","","","Waco, TX 76710-4446 USA","Waco","TX","76710-4446","United States","254","(254)776-3550","","","isrs@sgmeet.com","http://www.coralreefs.org","","","","","1980","","","","None Reported","Yes","Fellowship","","Newsletter","2-3/year","No","None Reported","","","Environment","02","Environmental and Agricultural Organizations","Yimnang Golbuu","","","",""
"VGMXES538520457","International Society of Applied Intelligence (ISAI)","Dept. of Computer Science","Texas State University, San Marcos","601 University Dr.","","","San Marcos, TX 78666-4616 USA","San Marcos","TX","78666-4616","United States","512","(512)245-8050","","(512)245-8750","ma04@txstate.edu","http://isai.cs.txstate.edu","","","8731","Commercial Physical Research","1993","1","","","None Reported","Yes","Recognition","","Journal","8/year","No","Yes","tradeshow; conference","Yes","Artificial Intelligence","04","Engineering, Technological, and Natural and Social Sciences Organizations","","","","",""
"VRCBWB617329911","International Society of Bassists (ISB)","14070 Proton Rd., Ste. 100","","","","","Dallas, TX 75244 USA","Dallas","TX","75244","United States","972","(972)233-9107","","(972)490-4219","info@isbworldoffice.com","http://www.isbworldoffice.com; http://www.facebook.com/isbworldoffice/; http://www.linkedin.com/groups/4315987/profile; http://twitter.com/isbworldoffice","2721","Periodicals","7929","Entertainers and Entertainment Groups","1967","1","376157","","None Reported","None Reported","","","Newsletter; Magazine; Journal","3/year; quarterly","Yes","None Reported","","","Music","06","Cultural Organizations","Douglas Mapp","","","",""
"FEKDQX124610500","International Union of Radio Science-United States National Committee (USNC-URSI)","c/o David Jackson","University of Houston","Department of Electrical & Computer Engineering","","","Houston, TX 77204-4005 USA","Houston","TX","77204-4005","United States","713","(713)743-4426","","(713)743-4444","","http://sites.nationalacademies.org/PGA/biso/URSI/index.htm","","","8731; 9631","Commercial Physical Research; Regulation and Administration of Utilities","1919","3","","30","None Reported","Yes","Prize; Recognition","","","","","Yes","meeting","","Telecommunications","04","Engineering, Technological, and Natural and Social Sciences Organizations","Sembiam Rengarajan","","","",""
"EVEPED585568824","International Wheelchair Aviators (IWA)","82 Corral Dr.","","","","","Keller, TX 76244 USA","Keller","TX","76244","United States","817","(817)229-4634","","","wheelchairaviators@yahoo.com","http://wheelchairaviators.org; http://www.facebook.com/International-Wheelchair-Aviators-181916075803/?v=wall","","","7997","Membership Sports and Recreation Clubs","1972","","","230","None Reported","None Reported","","","","","","None Reported","","","Aerospace","13","Hobby and Avocational Organizations","","","","",""
"MLHOGI903528391","Interprofessional Fostering of Ophthalmic Care for Underserved Sectors (InFOCUS)","18555 Kuykendahl Rd.","","","","","Spring, TX 77379 USA","Spring","TX","77379","United States","281","(281)547-7477","866-398-7525","(877)302-6385","ivc1@visualcompassion.com","http://www.infocusonline.org","","","8042; 8099","Offices and Clinics of Optometrists; Health and Allied Services Nec","1987","1","","","None Reported","None Reported","","","","","","None Reported","","","Visually Impaired","08","Health and Medical Organizations","Joseph Dollak, OD","","","",""
"QKNWVQ250806185","Islamic Schools League of America (ISLA)","PO Box 6198","","","","","Round Rock, TX 78683 USA","Round Rock","TX","78683","United States","517","(517)303-3905","","","info@theisla.org","http://theisla.org; http://www.facebook.com/theisla; http://twitter.com/TheISLA","","","8211","Elementary and Secondary Schools","1998","","","","None Reported","None Reported","","","","","","None Reported","","","Islamic","05","Educational Organizations","Judi Amri","","","",""
"RBKRXS527116464","Joint Commission on Sports Medicine & Science (JCSMS)","1620 Valwood Pky., No. 115","","","","","Carrollton, TX 75006 USA","Carrollton","TX","75006","United States","972","(972)532-8854","","","info@jcsmsonline.org","http://www.jcsmsonline.org; http://twitter.com/JCSMSTWEETS","","","7991","Physical Fitness Facilities","1966","","","","None Reported","None Reported","","","","","","Yes","meeting","","Sports Medicine","08","Health and Medical Organizations","James Whitehead","","","",""
"LRQBGJ875200992","Kappa Psi Pharmaceutical Fraternity, Inc.","2060 N Collins Blvd., Ste. 128","","","","","Richardson, TX 75080-2657 USA","Richardson","TX","75080-2657","United States","972","(972)479-1879","","(972)231-5171","centraloffice@kappapsi.org","http://www.kappapsi.org; http://www.facebook.com/kappapsi; http://twitter.com/kpsi","","","5912","Drug Stores and Proprietary Stores","1879","5","808416","70000","None Reported","None Reported","","","Manual; Handbook","annual","No","Yes","convention","","Pharmacy","17","Greek and Non-Greek Letter Societies, Associations, and Federations","Johnny W. Porter","","","",""
"XGWKVI607125472","Korean War Project","PO Box 180190","","","","","Dallas, TX 75218-0190 USA","Dallas","TX","75218-0190","United States","214","(214)320-0342","","","admin@kwp.org","http://www.koreanwar.org; http://www.facebook.com/Korean-War-Project-122407449671; http://twitter.com/KoreanWarVets","","","","","1979","","","4195","None Reported","None Reported","","","","","","None Reported","","","Veterans","03","Legal, Governmental, Public Administration, and Military Organizations","","","","",""
"BAUIXB929139573","Last Harvest - The Outreach","1813 Eldorado Dr.","","","","","Garland, TX 75042 USA","Garland","TX","75042","United States","214; 908","(214)703-0505; (908)926-2607","","","","http://lastharvest.org","","","8322","Individual and Family Services","1984","6","150000","2315","None Reported","None Reported","","","","","","None Reported","","","Right to Life","07","Social Welfare Organizations","","","","",""
"QHOEAF094401199","Leadership America (LA)","25 Highland Park Village, Ste. 100-371","","","","","Dallas, TX 75205 USA","Dallas","TX","75205","United States","214","(214)421-5566","","","","http://leadership-women.org/programs/leadership-america; http://www.facebook.com/LeadershipWomen1; http://www.linkedin.com/company/3009855","","","","","1988","","","","None Reported","None Reported","","","","","","None Reported","","","Leadership","05","Educational Organizations","","","","",""
"JVEWCQ065349592","Life Outreach International","PO Box 982000","","","","","Fort Worth, TX 76182-8000 USA","Fort Worth","TX","76182-8000","United States","","","800-947-5433","","feedback@lifetoday.org","http://www.lifetoday.org; http://www.facebook.com/lifetodaytv","","","4833; 8322","Television Broadcasting Stations; Individual and Family Services","1963","140","64478817","","None Reported","None Reported","","","","","","None Reported","","","Evangelism","11","Religious Organizations","","","","",""
"FOPEEJ475211658","Livestock Publications Council (LPC)","200 W Exchange Ave.","","","","","Fort Worth, TX 76164 USA","Fort Worth","TX","76164","United States","817","(817)247-1200","","","diane@livestockpublications.com","http://www.livestockpublications.com; http://www.facebook.com/LivestockPublicationsCouncil; http://twitter.com/LPC_Members","","","2721; 2711","Periodicals; Newspapers","1974","17","105000","","None Reported","Yes","Recognition; Scholarship; Award","","Newsletter; Directory","annual; latest edition 2006","No","Yes","meeting","","Publishing","01","Trade, Business, and Commercial Organizations","Cindy Cunningham","","","",""
"LWGNOR801192857","Majolica International Society","c/o Amy C. Griffin","8912 Crestview Dr.","","","","Denton, TX 76207 USA","Denton","TX","76207","United States","","","","","secretary@majolicasociety.com","http://majolicasociety.com","","","3269","Pottery Products Nec","1989","","16381","45","None Reported","None Reported","","","","","","Yes","convention","None Reported","Ceramics","13","Hobby and Avocational Organizations","","","","",""
"PSJFMG006729342","The Maritime Law Association of the United States (MLA)","c/o Robert Clyne, President","16855 Northchase Dr.","","","","Houston, TX 77060 USA","Houston","TX","77060","United States","281","(281)877-5989","","(281)877-6646","","http://www.mlaus.org","","","8111","Legal Services","1899","","","","None Reported","None Reported","","","Report; Newsletter","last published online issue: 2012; semiannual","No","None Reported","","","Maritime Law","03","Legal, Governmental, Public Administration, and Military Organizations","","","","",""
"OPEFTB170717772","Mathematical Study Unit (MSU)","c/o Monty Strauss","4209 88th St.","","","","Lubbock, TX 79423 USA","Lubbock","TX","79423","United States","","","","","","http://www.mathstamps.org","","","8733","Noncommercial Research Organizations","1979","","","365","None Reported","None Reported","","","Journal","quarterly","No","None Reported","","","Philatelic","13","Hobby and Avocational Organizations","","","","",""
"OCNZWU326693427","Maybee Society (MaySoc)","718 Pachester Dr.","","","","","Houston, TX 77079 USA","Houston","TX","77079","United States","","","","","","http://maybeesociety.org","","","7299","Miscellaneous Personal Services Nec","1986","5","2500","331","None Reported","None Reported","","","Newsletter","quarterly","No","None Reported","","","Family Name Societies","12","Veterans', Hereditary, and Patriotic Organizations","Steve Mabie","","","",""
"RYLWMU116629392","Mended Hearts, Inc. (MHI)","8150 N Central Expy., M2248","","","","","Dallas, TX 75206 USA","Dallas","TX","75206","United States","214","(214)206-9259","888-432-7899","(214)295-9552","info@mendedhearts.org","http://mendedhearts.org; http://www.facebook.com/mendedhearts/?ref=ts; http://twitter.com/MendedHearts","","","8322","Individual and Family Services","1951","14","1752109","25000","None Reported","Yes","Award; Recognition","","Magazine","bimonthly","No","None Reported","","","Cardiology","08","Health and Medical Organizations","Donnette Smith","","","",""
"ONKMDC409916995","Men of God Christian Fraternity","5423 Oxbow","","","","","San Antonio, TX 78228 USA","San Antonio","TX","78228","United States","","","877-822-3706","","national_mog@hotmail.com","http://menofgodchristianfraternity.com","","","","","1999","","","","None Reported","None Reported","","","","","","None Reported","","","Christian; Fraternities and Sororities","17","Greek and Non-Greek Letter Societies, Associations, and Federations","","","","",""
"YOFGMA086768681","Mercy Ships","PO Box 2020","","","","","Garden Valley, TX 75771-2020 USA","Garden Valley","TX","75771-2020","United States","903","(903)939-7000","800-772-7447","","info@mercyships.org","http://www.mercyships.org/national-offices; http://www.facebook.com/MercyShips; http://www.linkedin.com/mercy-ships; http://twitter.com/MercyShips","","","","","1978","","","","None Reported","None Reported","","","","","","None Reported","","","Medical Aid","08","Health and Medical Organizations","Myron E. Ullman, III","","","",""
"ZOBOLW510266030","Mexican American Unity Council (MAUC)","2300 W Commerce St., Ste. 200","","","","","San Antonio, TX 78207 USA","San Antonio","TX","78207","United States","210","(210)978-0500","","","info@mauc.org","http://www.mauc.org; http://www.facebook.com/Mexican-American-Unity-Council-Inc-561830380510663/?rf=312256332182579; http://twitter.com/MAUC_Inc","","","8322","Individual and Family Services","1967","5","565758","","None Reported","None Reported","","","","","","None Reported","","","Hispanic","07","Social Welfare Organizations","Michael A. Garcia, Jr.","","","",""
"VJASCV997170634","Mind Science Foundation (MSF)","117 W El Prado Dr.","","","","","San Antonio, TX 78212 USA","San Antonio","TX","78212","United States","210","(210)821-6094","","(210)821-6199","info@mindscience.org","http://www.mindscience.org; http://www.facebook.com/mindsciencefdn/; http://www.linkedin.com/company/4024914/; http://twitter.com/MindScienceFdn","2741","Miscellaneous Publishing","8733","Noncommercial Research Organizations","1958","3","329597","","None Reported","Yes","Grant","","Newsletter","","No","None Reported","","","Parapsychology","04","Engineering, Technological, and Natural and Social Sciences Organizations","Meriam Good","","","",""
"WAXTYO680271581","MinistryPay.com","100 N Central Expy., Ste. 914","","","","","Richardson, TX 75080-5326 USA","Richardson","TX","75080-5326","United States","972","(972)699-7555","800-898-8085","(972)699-7617","info@thechurchnetwork.com","http://www.nacba.net","2741","Miscellaneous Publishing","8661; 8741","Religious Organizations; Management Services","1956","6","","200000","None Reported","Yes","Recognition","","Magazine; Directory","Perpetual electronic directory updatable online; quarterly","Yes","Yes","conference","","Religious Administration","11","Religious Organizations","Simeon May","","","",""
"YJDOUK454489227","Missionary TECH Team (MTT)","25 FRJ Dr.","","","","","Longview, TX 75602-4703 USA","Longview","TX","75602-4703","United States","903","(903)757-4530","800-871-7795","(903)758-2799","info@techteam.org","http://www.techteam.org; http://www.facebook.com/MissionaryTECH","","","8322; 8712","Individual and Family Services; Architectural Services","1968","21","811456","28","None Reported","None Reported","","","","","","None Reported","","","Mission","11","Religious Organizations","Birne D. Wiley","","","",""
"OAUUQU127739008","Moon Society","5015 Addison Cir., No. 420","","","","","Addison, TX 75001 USA","Addison","TX","75001","United States","214","(214)507-7911","","","","http://www.moonsociety.org","","","","","2000","","","","None Reported","None Reported","","","","","","None Reported","","","Space","04","Engineering, Technological, and Natural and Social Sciences Organizations","Ken Murphy","","","",""
"EQUQJH114605645","Mothers Against Drunk Driving (MADD)","511 E John Carpenter Fwy., Ste. 700","","","","","Irving, TX 75062 USA","Irving","TX","75062","United States","804","(804)201-4604","877-275-6233","(972)869-2206","","http://www.madd.org; http://www.facebook.com/MADD.Official; http://twitter.com/MADDOnline","","","","","1998","317","43000000","3200000","None Reported","None Reported","","","Brochure","","No","None Reported","","","Safety; Drunk Driving","07","Social Welfare Organizations","David Strickland","","","",""
"UYVJUJ312054131","Musical Dog Sport Association (MDSA)","PO Box 114","","","","","Simonton, TX 77476-0114 USA","Simonton","TX","77476-0114","United States","","","","","musicaldogsport@gmail.com","http://www.musicaldogsport.org; http://www.facebook.com/MDSAfreestyle","","","","","2005","","","100","None Reported","None Reported","","","","","","None Reported","","","Dog","14","Athletic and Sports Organizations","Bridgette Pirtle","","","",""
"NJVOMB493471299","My Designer Concierge","802 N Robinson Dr.","","","","","Waco, TX 76706 USA","Waco","TX","76706","United States","254","(254)662-4021","888-395-1959","","info@workroomassociation.com","http://waoamembersite.com; http://www.facebook.com/987997507895414","","","2399","Fabricated Textile Products Nec","","","","","None Reported","None Reported","","","","","","None Reported","","","Interior Design","01","Trade, Business, and Commercial Organizations","","","","",""
"OROXFE558913518","National Algae Association (NAA)","4747 Research Forest Dr., Ste. 180","","","","","The Woodlands, TX 77381 USA","The Woodlands","TX","77381","United States","936","(936)321-1125","","","info@nationalalgaeassociation.com","http://www.nationalalgaeassociation.com","2879","Agricultural Chemicals Nec","8731","Commercial Physical Research","","","","","None Reported","None Reported","","","","","","None Reported","","","Alternative Technology","04","Engineering, Technological, and Natural and Social Sciences Organizations","","","","",""
"LOEYOQ143162690","National Alliance for Insurance Education and Research (CIC)","3630 N Hills Dr.","","","","","Austin, TX 78731 USA","Austin","TX","78731","United States","","","800-633-2165","(512)349-6194","alliance@scic.com","http://www.scic.com; http://www.facebook.com/NatlAllianceEd; http://www.linkedin.com/groups/2106450/profile","2741","Miscellaneous Publishing","6411; 8299","Insurance Agents, Brokers and Service; Schools and Educational Services Nec","1969","102","","","None Reported","Yes","Recognition","","Magazine","","No","None Reported","","","Insurance","01","Trade, Business, and Commercial Organizations","William T. Hold, PhD","","","",""
"LTPVER551656496","National Alliance of State Science and Mathematics Coalitions (NASSMC)","Ingenuity Ctr., The University of Texas at Tyler","3900 University Blvd.","","","","Tyler, TX 75799-6600 USA","Tyler","TX","75799-6600","United States","903","(903)617-6813","","(903)617-6814","","http://www.nassmc.org","","","8211","Elementary and Secondary Schools","1994","","25000","","None Reported","None Reported","","","Newsletter","monthly","No","None Reported","","","Science","05","Educational Organizations","Kenneth W. Heydrick, EdD","","","",""
"YAEPOD058078595","National Asian Pacific American Law Student Association (NAPALSA)","c/o Lianne Baldridge, Treasurer","8910 Southwestern Blvd., No. 1226","","","","Dallas, TX 75214 USA","Dallas","TX","75214","United States","","","","","","http://www.napalsa.com","","","8221; 8111","Colleges and Universities; Legal Services","1981","","","","None Reported","None Reported","","","","","","None Reported","","","Law; Students; Asian-American","03","Legal, Governmental, Public Administration, and Military Organizations","Alexis Shimada","","","",""
"JOSAQZ768233481","National Association for Professional Development Schools (NAPDS)","1 Bear Pl., No. 97477","","","","","Waco, TX 76798-7477 USA","Waco","TX","76798-7477","United States","","","855-936-2737","","info@napds.org","http://www.napds.org; http://www.facebook.com/groups/napds; http://www.twitter.com/NAPDS9","","","8299; 8221","Schools and Educational Services Nec; Colleges and Universities","2003","","74793","","None Reported","None Reported","","","","","","None Reported","","","Schools","05","Educational Organizations","Drew Polly","","","",""
"RDAMUV101307633","National Association of Baptist Professors of Religion (NABPR)","c/o Joyce Swoveland, Department of Religion, Baylor University, One Bear Pl., Suite 97284","","","","","Waco, TX 76798 USA","Waco","TX","76798","United States","844; 254","(844)364-3772; (254)710-3758","","(212)995-3931","joyce_swoveland@baylor.edu","http://www.nabpr.org; http://www.facebook.com/nabpr/about/?ref=page_internal; http://twitter.com/nabpr1","2731; 8661","Book Publishing; Religious Organizations","8299","Schools and Educational Services Nec","1972","","","","None Reported","None Reported","","","Newsletter; Periodical; Journal; Monograph","quarterly","No","None Reported","","","Theology","05","Educational Organizations","Helen Lee Turner","","","",""
"JFZWTZ260182194","National Association of Black Geoscientists (NABG)","4212 San Felipe St., Ste. 420","","","","","Houston, TX 77027 USA","Houston","TX","77027","United States","","","","","nabg_us@hotmail.com","http://www.nabg-us.org","","","8731","Commercial Physical Research","1981","","38339","","None Reported","None Reported","","","","","","None Reported","","","Geoscience; African-American; Minorities","04","Engineering, Technological, and Natural and Social Sciences Organizations","Michael Carroll","","","",""
"LLRGAM138893783","National Association of Church Design Builders (NACDB)","1000 Ballpark Way, Ste. 306","","","","","Arlington, TX 76011 USA","Arlington","TX","76011","United States","817","(817)200-2622","866-416-2232","(817)275-4519","info@nacdb.com","http://www.nacdb.com; http://www.facebook.com/nacdb; http://www.twitter.com/nacdb","","","1542","Nonresidential Construction Nec","2002","","","100","None Reported","None Reported","","","Magazine; Newsletter","quarterly","No","None Reported","","","Building Industries","01","Trade, Business, and Commercial Organizations","Kelly Archer","","","",""
"VLGRTI721189900","National Association of Dog Obedience Instructors (NADOI)","7910 Picador Dr.","","","","","Houston, TX 77083-4918 USA","Houston","TX","77083-4918","United States","972","(972)296-1196","","","info@nadoi.org","http://www.nadoi.org; http://www.facebook.com/NADOI; http://twitter.com/NADOIORG","","","0752","Animal Specialty Services","1965","30","7367","600","None Reported","None Reported","","","Newsletter","bimonthly","No","None Reported","","","Dog","13","Hobby and Avocational Organizations","Marti Kincaid","","","",""
"PRMIUX408281346","National Association of Investigative Specialists (NAIS)","PO Box 82148","","","","","Austin, TX 78708-2148 USA","Austin","TX","78708-2148","United States","512","(512)719-3595","","(512)719-3594","","http://www.pimall.com/nais","2741","Miscellaneous Publishing","7389","Business Services Nec","1984","5","","","None Reported","None Reported","","","Manual; Newsletter; Newspaper","annual; bimonthly; biweekly; daily","Yes","Yes","conference","Yes","Investigation","01","Trade, Business, and Commercial Organizations","Ralph D. Thomas","","","",""
"WBVNBH587576493","National Association of School Music Dealers, Inc. (NASMD)","14070 Proton Rd., Ste. 100","","","","","Dallas, TX 75244 USA","Dallas","TX","75244","United States","972","(972)233-9107","","(972)490-4219","office@nasmd.com","http://www.nasmd.com","","","7389; 5736","Business Services Nec; Musical Instruments Stores","1962","","80000","280","None Reported","None Reported","","","Newsletter","quarterly","No","None Reported","","","Music","01","Trade, Business, and Commercial Organizations","Whitney Brown Grisaffi","","","",""
"AIQBUF640689169","National Association of University-Model Schools (NAUMS)","103 N 1st St.","","","","","Midlothian, TX 76065 USA","Midlothian","TX","76065","United States","972","(972)525-7005","888-485-8525","(888)506-6597","info@naums.net","http://www.naums.net","","","8322","Individual and Family Services","2005","","","","None Reported","None Reported","","","","","","Yes","meeting","","Colleges and Universities; Christian; Education; Higher Education; Schools","05","Educational Organizations","Barbara Nicholson Freeman, MEd","","","",""
"BZCVSJ207619163","National Birth Defects Prevention Network (NBDPN)","1321 Upland Dr., Ste. 1561","","","","","Houston, TX 77043 USA","Houston","TX","77043","United States","404","(404)498-3918","","","nbdpn@nbdpn.org","http://www.nbdpn.org; http://www.facebook.com/nbdpn?navtitle=idxpubs; http://twitter.com/nbdpn","8322","Individual and Family Services","","","1997","","51020","","None Reported","None Reported","","","Survey; Journal","","No","None Reported","","","Birth Defects","08","Health and Medical Organizations","Amy Nance","","","",""
"ADHUPV240063910","National Board for Colon Hydrotherapy (NBCHT)","11103 San Pedro Ave., Ste. 117","","","","","San Antonio, TX 78216 USA","San Antonio","TX","78216","United States","210","(210)308-8288","","","homeoffice@nbcht.org","http://www.nbcht.org","","","8011","Offices and Clinics of Medical Doctors","2000","","35465","","None Reported","None Reported","","","","","","None Reported","","","Alternative Medicine; Therapy; Health; Health Professionals","08","Health and Medical Organizations","Belinda Massey","","","",""
"TTEPWW540644326","National Business Association (NBA)","5151 Beltline Rd., Ste. 106","","","","","Carrollton, TX 75006 USA","Carrollton","TX","75006","United States","","","800-456-0440","(972)960-9149","database@nationalbusiness.org","http://nationalbusiness.org; http://www.facebook.com/National-Business-Association-153044648048676; http://www.linkedin.com/groups/3384772/profile","","","8712; 8748","Architectural Services; Business Consulting Services Nec","1982","3","649492","50000","None Reported","None Reported","","","Newsletter","weekly","No","None Reported","","","Small Business","01","Trade, Business, and Commercial Organizations","","","","",""
"BQQACF196808314","National Center for Policy Analysis (NCPA)","14180 Dallas Pky., Ste. 350","","","","","Dallas, TX 75254 USA","Dallas","TX","75254","United States","972","(972)386-6272","","","media@ncpa.org","http://www.ncpa.org; http://www.facebook.com/NationalCenterforPolicyAnalysis; http://www.linkedin.com/company/248722; http://twitter.com/NCPA","8732","Commercial Nonphysical Research","","","1983","39","3009143","","None Reported","Yes","Internship","","Paper; Newsletter","bimonthly; daily; weekly","","Yes","educational activity","","Public Policy","09","Public Affairs Organizations","Steve Ivy","","","",""
"OBBEJD087174621","National Chief Petty Officers' Association (NCPOA)","c/o Richard A. Oubre, Treasurer","5730 Misty Glen","","","","San Antonio, TX 78247-1373 USA","San Antonio","TX","78247-1373","United States","210","(210)637-6304","","","","http://www.ncpoa.club","","","9711","National Security","1988","6","","2600","None Reported","Yes","Scholarship","","Newspaper","quarterly","Yes","None Reported","","","Navy","12","Veterans', Hereditary, and Patriotic Organizations","Raymond D. Emory","","","",""
"ODDVJO538249688","National Coalition of Associations of 7-Eleven Franchisees (NCASEF)","1001 Pat Booker Rd., Ste. 206","","","","","Universal City, TX 78148 USA","Universal City","TX","78148","United States","702","(702)249-3301","","","nationaloffice@ncasef.com","http://ncasef.com","","","5411","Grocery Stores","1973","","","","None Reported","None Reported","","","","","","None Reported","","","Franchising; Business","01","Trade, Business, and Commercial Organizations","Jatinder Singh","","","",""
