Information here is subject to the policy as set forth by Gale in the terms and conditions found here: https://support.gale.com/terms/

Search Terms, "Directory Title ("Publishers Directory") And Edition (41)  LIMITS: Database (Publishers Directory)"

Document Number,Entity Name,Main Address - Street1,Main Address - Street2,Main Address - Street3,Main Address - Street4,Main Address - Street5,Composed City,City,State Code,Zip Code,Country,Telephone Area Code,Telephone Number,Toll Free Number,Fax Number,Organization Email Address,Organization Website URL,Annual Sales,Officer 1,Officer 2,Officer 3,Officer 4,Officer 5
"QPENYC880448484","Amereon House","4470 Wickham Ave.","","","","","Mattituck, NY 11952-2358 USA","Mattituck","NY","11952-2358","United States","631","(631)298-5100","","","amereon@aol.com","","2276000","Joanna Paulsen","Gene Stratton-Porter","Elizabeth Seifert","",""
"OLWCSV669099079","America's Hobby Center Inc.","8300 Tonnelle Ave.","","","","","North Bergen, NJ 07047 USA","North Bergen","NJ","07047","United States","201","(201)662-0777","800-242-1931","(201)662-1450","questions@ahc1931.com","","","Peter R. Winston","","","",""
"DTJJGF519314687","American Academy for Jewish Research","420 Walnut St.","","","","","Philadelphia, PA 19106-3703 USA","Philadelphia","PA","19106-3703","United States","","","","","","http://www.aajr.org","","Prof. Todd Endelman","Prof. Marsha Rozenblit","Prof. Gershon Hundert","Prof. Elisheva Carlebach","Prof. David Stern"
"UFSKLN931958626","American Academy of Advertising","Florida International University","831 Langdon","831 Fearrington Post","","","Pittsboro, NC 27312 USA","Pittsboro","NC","27312","United States","212","(212)682-2500","","","director@aaasite.org","http://www.aaasite.org","","","","","",""
"WXSFZI688059463","American Academy of Fertility Care Professionals","11700 Studt Ave., Ste. C","","","","","Saint Louis, MO 63141 USA","Saint Louis","MO","63141","United States","402","(402)489-3733","","(402)488-6525","","http://aafcp.net","","Paul W. Kortz","Karen Hemingway","","",""
"RJLIAZ325882460","American Academy of Implant Dentistry","211 E Chicago Ave., Ste. 750","","","","","Chicago, IL 60611 USA","Chicago","IL","60611","United States","312","(312)335-1550","877-335-2243","(312)335-9090","info@aaid.com","http://www.aaid.com/index.html","841000","Sharon Bennett","","","",""
"TTTCZR330421817","American Academy of Pediatrics","141 NW Point Blvd.","","","","","Elk Grove Village, IL 60007-1098 USA","Elk Grove Village","IL","60007-1098","United States","847","(847)434-4000","800-433-9016","(847)434-8000","president@aap.org","http://www.aap.org","34307000","James M. Perrin","Errol R. Alden","Susan Bolda Marshall","Rusty Heckaman",""
"VYHSTK661914332","The American Alpine Club Press","710 10th St., Ste. 100","","","","","Golden, CO 80401-5843 USA","Golden","CO","80401-5843","United States","303","(303)384-0110","","(303)384-0111","info@americanalpineclub.org","http://www.americanalpineclub.org","100000","Phil Powers","Steve Swenson","Jim Donini","Danika Gilbert","Conrad Anker"
"KDPAEC367087946","American Angus Association","3201 Frederick Ave.","","","","","Saint Joseph, MO 64506 USA","Saint Joseph","MO","64506","United States","816","(816)383-5100","","(816)233-9703","angus@angus.org","http://www.angus.org","35240000","Leo McDonnell","Bryce Schumann","","",""
"JUGMOU827378658","Americana Review","Ten Socha Ln.","","","","","Scotia, NY 12302-3808 USA","Scotia","NY","12302-3808","United States","518","(518)399-6482","","","","","","","","","",""
"CPWEQH020512295","American Assembly","475 Riverside Dr., Ste. 456","","","","","New York, NY 10115-0084 USA","New York","NY","10115-0084","United States","212","(212)870-3500","","(212)870-3555","americanassembly@columbia.edu","http://www.americanassembly.org","","Stephen Stamas","","","",""
"FJUBFK408089980","American Association for Clinical Chemistry","1850 K St. NW, Ste. 625","","","","","Washington, DC 20006 USA","Washington","DC","20006","United States","","","800-892-1400","(202)887-5093","custserv@aacc.org","http://www.aacc.org","9155000","","","","",""
"YLGETW007929806","American Association for Laboratory Accreditation","5301 Buckeystown Pike, Ste. 350","","","","","Frederick, MD 21703 USA","Frederick","MD","21703","United States","301","(301)644-3248","","(240)454-9449","","http://www.a2la.org","","Robert Whitehead","Wendy Wagner","Trace McInturff","Teresa Barnett","Roxanne Robinson"
"TYOAPU088899636","American Association for Physician Leadership","400 N Ashley Dr., Ste. 400","","","","","Tampa, FL 33602 USA","Tampa","FL","33602","United States","813","(813)287-2000","800-562-8088","(813)287-8993","acpe@acpe.org","http://www.acpe.org","250000","Barry Silbaugh","Steve Fasnacht","Rosemary Brackman","Roger Schenke","Jill Fasnacht"
"DXSXLB250817727","American Association for the Advancement of Science - Pacific Division","Southern Oregon University","1250 Siskiyou Blvd.","","","","Ashland, OR 97520 USA","Ashland","OR","97520","United States","541","(541)552-6869","","(541)552-8457","aaaspd@sou.edu","http://associations.sou.edu/aaaspd","","Wolff-Michael Roth","Terrence L. Gosliner","Dr. Roger G. Christianson","Robert L. Christiansen","Robert L. Chianese"
"KHSHBO880169073","American Association for Vocational Instructional Materials","220 Smithonia Rd.","","","","","Winterville, GA 30683-9527 USA","Winterville","GA","30683-9527","United States","706","(706)742-5355","","(706)742-7005","sales@aavim.com","http://www.aavim.com","590000","","","","",""
"XTZEDZ838940985","American Association of Blood Banks","8101 Glenbrook Rd.","","","","","Bethesda, MD 20814-2749 USA","Bethesda","MD","20814-2749","United States","301","(301)907-6977","","(301)907-6895","aabb@aabb.org","http://www.aabb.org","10006000","Graham Sher","","","",""
"RKNZFU619531856","American Association of Critical-Care Nurses","101 Columbia","","","","","Aliso Viejo, CA 92656-4109 USA","Aliso Viejo","CA","92656-4109","United States","949","(949)362-2000","800-899-2226","(949)362-2020","info@aacn.org","http://www.aacn.org","72000","Maureen Seckel","Michael C. Willett","Wanda Johanson","Teri Lynn Kiss","Susan Nelmark"
"LVVWIO484858057","American Association of Diabetes Educators","200 W Madison St., Ste. 800","","","","","Chicago, IL 60606 USA","Chicago","IL","60606","United States","","","800-338-3633","(312)424-2427","membership@aadenet.org","http://www.diabeteseducator.org","5924000","Terry Compton","Nancy D'Hondt","Diana Pihos","",""
"RLHJVX400151697","American Association of Meat Processors","One Meating Pl.","","","","","Elizabethtown, PA 17022-2883 USA","Elizabethtown","PA","17022-2883","United States","717","(717)367-1168","877-877-0168","(717)367-9096","aamp@aamp.com","http://www.aamp.com","3207000","Jay Wenther","Daniel Glier","Terry Zechman","Nancy Matako","Nancy Stevens"
"CFEOIH258873641","American Association of Neurological Surgeons","5550 Meadowbrook Dr.","","","","","Rolling Meadows, IL 60008-3852 USA","Rolling Meadows","IL","60008-3852","United States","847","(847)378-0500","888-566-2267","(847)378-0600","info@aans.org","http://www.aans.org","13741000","Thomas A. Marshall","Alex B. Valadka","William T. Couldwell","",""
"CQOJZD538720175","American Association of Petroleum Geologists","1444 S Boulder Ave.","","","","","Tulsa, OK 74119 USA","Tulsa","OK","74119","United States","918","(918)584-2555","800-364-2274","(918)560-2665","","http://www.aapg.org/about/aapg/overview","90000","","","","",""
"MNTLTO660440586","American Association of Professional Landmen","4100 Fossil Creek Blvd.","","","","","Fort Worth, TX 76137-2723 USA","Fort Worth","TX","76137-2723","United States","817","(817)847-7700","","(817)847-7704","aapl@landman.org","http://www.landman.org","","Don M. Key","Russell S. Shinevar","Pamela D. Feist","Martin Schardt","Le'Ann Callihan"
"CGWWGK744037035","American Association of State Highway and Transportation Officials","444 N Capitol St. NW, Ste. 249","","","","","Washington, DC 20001-1539 USA","Washington","DC","20001-1539","United States","202","(202)624-5800","","(202)624-5806","info@aashto.org","http://www.transportation.org","3000000","Robert Cullen","John Cox","Jenet Adem","Erin Grady","Carlos Braceras"
"VIPXPW214960044","American Association of Teachers of Spanish and Portuguese","900 Ladd Rd.","","","","","Walled Lake, MI 48390 USA","Walled Lake","MI","48390","United States","248","(248)960-2180","","(248)960-9570","aatspoffice@aatsp.org","http://www.aatsp.org","575000","Colleen Volpe","Carol Daugherty","Roberta Miller","Mary-Anne Vetterling","Debra Forde"
"VQWOAU427631876","American Association of Textile Chemists and Colorists","1 Davis Dr.","","","","","Research Triangle Park, NC 27709-2215 USA","Research Triangle Park","NC","27709-2215","United States","919","(919)549-8141","","(919)549-8933","orders@aatcc.org","http://www.aatcc.org","","Suzanne Holmes","Richard S. Simonson","Perry Grady","Martin J. Bide","Kim Nicholson"
"KNHTJT887952365","American Association of University Professors","1133 19th St. NW, Ste. 200","","","","","Washington, DC 20036 USA","Washington","DC","20036","United States","202","(202)737-5900","","(202)737-5526","aaup@aaup.org","http://www.aaup.org","","Susan Smee","Robin Burns","Patrick B. Shaw","Mike Mauer","Jenn Nichols"
"WFUOED893241185","American Association of University Women","1111 16th St. NW","","","","","Washington, DC 20036-4809 USA","Washington","DC","20036-4809","United States","202","(202)785-7700","800-326-AAUW","(202)872-1425","connect@aauw.org","http://www.aauw.org","348000","Sandra Camillo","Patricia Ho","Mildred Hoffler-Foushee","Kathy Anthon","Kathryn Braeman"
"YTMHAU359208012","American Association of Woodturners","222 Landmark Ctr.","75 W 5th St.","","","","Saint Paul, MN 55102-7704 USA","Saint Paul","MN","55102-7704","United States","651","(651)484-9094","877-595-9094","","","http://www.woodturner.org","","Nick Cook","Mary Lacer","Linda Ferber","Dave Barriger","Carl Voss"
"AQVQBC791309650","American Association of Zoo Keepers","8476 E Speedway Blvd., Ste. 204","","","","","Tucson, AZ 85710 USA","Tucson","AZ","85710","United States","785; 520","(785)273-9149","","(785)273-1980","aazkoffice@zk.kscoxmail.com","http://www.aazk.org","10000","Tammy Root","Susan Chan","Shane Good","Jacque Blessington","Gisela Wiggins"
"GXXRAM159601135","American Association on Aging","575 Market St., Ste. 2100","","","","","San Francisco, CA 94105-2869 USA","San Francisco","CA","94105-2869","United States","","","800-537-9728","","info@asaging.org","http://www.asaging.org","","Carole Anderson","Nancy Decia","Betsy Dorsett","Alison Hood","Linda Jones"
"XYJMKT153485896","American Association on Intellectual and Developmental Disabilities","501 3rd St. NW, Ste. 200","","","","","Washington, DC 20001 USA","Washington","DC","20001","United States","202","(202)387-1968","","(202)387-2193","books@aaidd.org","http://aaidd.org","","Saihanjula He","Paul D. Aitken","Michelle Hart","Maria A. Alfaro","Danielle Webber"
"PHDPIH303698423","American Astronomical Society","2000 Florida Ave. NW, Ste. 400","","","","","Washington, DC 20009-1231 USA","Washington","DC","20009-1231","United States","202","(202)328-2010","","(202)234-2560","aas@aas.org","http://www.aas.org","1889000","Kevin B. Marvel","Faye Peterson","Crystal M. Tinch","",""
"KLSXIW221586256","American Audio Prose Library Inc.","600 Crestland Ave.","","","","","Columbia, MO 65205 USA","Columbia","MO","65205","United States","573","(573)443-0361","800-447-2275","(573)499-0579","mail@americanaudioprose.org","http://www.americanaudioprose.org","150000","Kay Callison","Kay Bonnetti","Kay Bonetti","",""
"HQPZMS900821092","American Bantam Association","PO Box 127","","","","","Augusta, NJ 07822 USA","Augusta","NJ","07822","United States","419; 716","(419)234-4427","","","","http://www.bantamclub.com/aba","","Walt Leonard","Tommy Lee","Rick Hare","Matt Lhamon","Marty McGuire"
"QYQOHS117373823","American Bar Association","321 N Clark St.","","","","","Chicago, IL 60654-7598 USA","Chicago","IL","60654-7598","United States","312","(312)988-5000","800-285-2221","","orders@abanet.org","http://www.americanbar.org/aba.html","375547000","Lucian T. Pera","Linda A. Klein","Jack L. Rives","Cara Lee T. Neville","Carolyn Lamm"
"BAQVSR051228856","American Beverage Licensees","5101 River Rd., Ste. 108","","","","","Bethesda, MD 20816-1560 USA","Bethesda","MD","20816-1560","United States","301","(301)656-1494","","(301)656-7539","info@ablusa.org","http://www.ablusa.org","2827000","Chuck Ferrar","John D. Bodnovich","Rosanne Ferruggia","Harry Klocke",""
"THFFBS679435169","American Birding Association","1618 W Colorado Ave.","","","","","Colorado Springs, CO 80904 USA","Colorado Springs","CO","80904","United States","719","(719)578-9703","800-850-2473","(719)578-1480","member@aba.org","http://www.aba.org","1073000","LeAnn Pilger","Jeffrey A. Gordon","David Hartley","Ted Floyd","Kenn Kaufman"
"VRCIID689516021","American Board of Professional Psychology","600 Market St., Ste. 201","","","","","Chapel Hill, NC 27516 USA","Chapel Hill","NC","27516","United States","919","(919)537-8031","","(919)537-8034","office@abpp.org","http://www.abpp.org","","Randy K. Otto","Dr. David R. Cox","","",""
"UKTYEE079818573","American Boat & Yacht Council","613 3rd St., Ste. 10","","","","","Annapolis, MD 21403 USA","Annapolis","MD","21403","United States","410","(410)990-4460","","(410)990-4466","","http://www.abycinc.org","25000","Ed Sherman","Larry Akins","John Adey","Helen Koepper","Brian Goodwin"
"JFZYNO045916840","American Book Center, Inc.","Brooklyn Navy Yard, Bldg. 3","","","","","Brooklyn, NY 11205 USA","Brooklyn","NY","11205","United States","718","(718)923-8300","800-556-9419","(718)935-9647","","","708000","Kenneth Gomez","Michael Reilly","Joel Goldstein","Joal Savino",""
"OQHMVE396915264","American Book Co.","10267 Kingston Pke.","","","","","Knoxville, TN 37922 USA","Knoxville","TN","37922","United States","865","(865)966-7454","","(865)675-0557","sales@americanbookco.com","http://www.americanbookco.com","52056000","Dean Winegardner","Tobias Queen","","",""
"HZHDIV202370725","American Book Publishing Inc.","PO Box 65624","","","","","Salt Lake City, UT 84165 USA","Salt Lake City","UT","84165","United States","1; 801","(801)486-8639","888-288-7413","(801)382-0881","info@american-book.com","","","","","","",""
"MPEPHG311870294","American Bureau of Metal Statistics","PO Box 805","","","","","Chatham, NJ 07928 USA","Chatham","NJ","07928","United States","973","(973)701-2299","","(973)701-2152","info@abms.com","http://www.abms.com","170000","","","","",""
"KBXYCV044249835","American Business Women's Association","11050 Roe Ave., Ste. 200","","","","","Overland Park, KS 66211 USA","Overland Park","KS","66211","United States","","","800-228-0007","(913)660-0101","webmail@abwa.org","http://www.abwa.org","","Rene Street","Lorie Burch","","",""
"HBURYP116724618","American Canal & Transportation Center","333 Beach Dr.","","","","","Annapolis, MD 21403-3904 USA","Annapolis","MD","21403-3904","United States","410","(410)263-1303","","","nancyo333@verizon.net","","15000","William H. Shank","Nancy O'Dell","Marion R. Raber","Eric J. Odell","Elizabeth L. Raber"
"VTTJUD208380356","American Checkered Giant Rabbit Club","c/o David Freeman, Secretary","1119 Klondyke Rd.","","","","Milford, OH 45150 USA","Milford","OH","45150","United States","513","(513)576-0804","","","","http://maddawg1072.wix.com/acgrc#!membership-form/cd0x","2000","Scott Wells","Mary Ann Sedletzeck","Erick Meyer","Eric Brennan","David Freeman"
"CPDGOK274593080","American Chemical Society","2540 Olentangy River Rd.","","","","","Columbus, OH 43202 USA","Columbus","OH","43202","United States","614","(614)447-3600","800-848-6538","(614)447-3713","help@cas.org","http://www.cas.org","200000000","Eric Shively","Matthew Toussant","Robert Swann","Christine McCue",""
"ENDWSV307200669","American Childhood Cancer Organization","10920 Connecticut Ave., Ste. A","","","","","Kensington, MD 20895 USA","Kensington","MD","20895","United States","301","(301)962-3520","855-858-2226","(301)962-3521","","http://www.acco.org","","Naomi Bartley","Janine Lynne","Ken Phillips","Ruth I. Hoffman",""
"UJWEVF604807022","American Chiropractic Association","1701 Clarendon Blvd.","","","","","Arlington, VA 22209 USA","Arlington","VA","22209","United States","703","(703)276-8800","","(703)243-2593","memberinfo@acatoday.org","http://www.acatoday.org","18472000","Laurie Douglass","Janet Ridgely","Dean Millard","Bobby Gibson","Annette Pena Bernat"
"UNRLPW080251627","American Civil Liberties Union National Prison Project","915 15th St. NW, 7th Fl.","","","","","Washington, DC 20005 USA","Washington","DC","20005","United States","202","(202)417-7547","","","media@aclu.org","http://www.aclu.org/prisoners-rights","","Susan N. Herman","Steven Shapiro","Laura W. Murphy","Karen Curry","Geri E. Rozanski"
"XNVJBO664361962","American Coalition for Clean Coal Electricity","1152 15th St. NW, Ste. 400","","","","","Washington, DC 20005 USA","Washington","DC","20005","United States","202","(202)459-4800","","","","http://www.cleancoalusa.org","","Lisa Camooso Miller","Cullen West","","",""
"KZUXJH130775670","American College Health Association","1362 Mellon Rd., Ste. 180","","","","","Hanover, MD 21076-3198 USA","Hanover","MD","21076-3198","United States","410","(410)859-1500","","(410)859-1510","membership@acha.org","http://www.acha.org","500000","Victor E. Leino","Valerie Hartman","Peggy Hayes","P. J. Russell","Mary Hoban"
"KBAOKJ770181357","American College of Nurse-Midwives","8403 Colesville Rd., Ste. 1550","","","","","Silver Spring, MD 20910 USA","Silver Spring","MD","20910","United States","240","(240)485-1800","","(240)485-1818","lkaplan@acnm.org","http://www.midwife.org","27865000","Dr. Sandra Gray","Meredith Graham","Melissa Garvey","Angie Fujioka",""
"IRDQPI212101316","American College of Radiology","1891 Preston White Dr.","","","","","Reston, VA 20191 USA","Reston","VA","20191","United States","703","(703)648-8900","","","info@acr.org","http://www.acr.org","50176000","Shawn Farley","Ronald Freedman","Patty Fitzpatrick","Pamela Wilcox","Mike Tilkin"
"WPCXLS332363228","American Conference for Irish Studies","University of Wisconsin-Madison","Theatre and Drama Dept.","6192 Vilas Hall, 821 University Ave.","","","Madison, WI 53706-1497 USA","Madison","WI","53706-1497","United States","212","(212)180-3590","","","","http://www.acisweb.com","2377000","Timothy Mcmahon","Mary Trotter","Michael De Nie","Thomas Finan","Sean Farrell"
"ACRCPS823017566","American Dairy Products Association","2501 Aerial Center Pky.","","","","","Morrisville, NC 27560-7655 USA","Morrisville","NC","27560-7655","United States","919","(919)459-2076","","(919)459-2075","info@drinkmoremilk.org","http://www.drinkmoremilk.org","","Keith Collins","Jeff Pintea","","",""
"HOEIDR621575760","American Dental Association","211 E Chicago Ave.","","","","","Chicago, IL 60611-2678 USA","Chicago","IL","60611-2678","United States","312","(312)440-2500","800-947-4746","(312)440-3542","berryj@ada.org","http://www.ada.org","50506000","James H. Berry","","","",""
"NECKEV427084640","American Directory Corp.","PO Box 7426","","","","","New York, NY 10116-7421 USA","New York","NY","10116-7421","United States","718","(718)797-1326","","(212)596-4852","mail@didik.com","http://www.didik.com","","Frank Didik","","","",""
"QKQMKP073600344","American Driving Society, Inc.","1837 Ludden Dr., Ste. 120","","","","","Cross Plains, WI 53528-9007 USA","Cross Plains","WI","53528-9007","United States","608","(608)237-7382","","(608)237-6468","info@americandrivingsociety.org","http://www.americandrivingsociety.org","","William Lawson","Susan Koso","Mary Jo Stockman","John Freiburger","Hardy Zantke"
"IRRQWI969817509","American Economic Association","2014 Broadway, Ste. 305","","","","","Nashville, TN 37203 USA","Nashville","TN","37203","United States","615","(615)322-2595","","(615)343-7590","aeainfo@vanderbilt.edu","http://www.aeaweb.org","","Richard H. Thaler","John J. Siegfried","Regina Montgomery","",""
"YMORWZ623593217","American Educational Research Association","1430 K St. NW, Ste. 1200","","","","","Washington, DC 20005-2504 USA","Washington","DC","20005-2504","United States","202","(202)238-3200","","(202)238-3250","webmaster@aera.net","http://www.aera.net","323000","Felice J. Levine","Arnetha Ball","William G. Tierney","Phoebe H. Stevenson","Jerlando F. L. Jackson"
"MFXQMS671811380","American Electric Power Company Inc.","1 Riverside Plz.","","","","","Columbus, OH 43215-2372 USA","Columbus","OH","43215-2372","United States","614","(614)716-1000","800-277-2177","","","http://www.aep.com","","Scott N. Smith","Charles E. Zebula","Joseph M. Buonaiuto","Stanley E. Partlow","Brian X. Tierney"
"BWRKRO981410899","American Enterprise Publications","7200 Whitlock Rd.","","","","","Paris, TN 38242 USA","Paris","TN","38242","United States","731","(731)782-3325","","","info@biblicaleconomics.com","http://www.biblicaleconomics.com","1372000","Tom Rose","Ruth Rose","","",""
"EIUGON641005277","American Farrier's Association","4059 Iron Works Pkwy., Ste. No. 1","","","","","Lexington, KY 40511 USA","Lexington","KY","40511","United States","859","(859)233-7411","877-268-4505","(859)231-7862","info@americanfarriers.org","http://www.americanfarriers.org","650000","Rachel Heighton","","","",""
"QHXZAQ114488738","American Forest and Paper Association","1101 K St., NW, Ste. 700","","","","","Washington, DC 20005 USA","Washington","DC","20005","United States","202","(202)463-2700","","(202)463-2785","info@afandpa.org","http://www.afandpa.org","","Donna A. Harman","","","",""
"YRHUNE933183192","American Forests","1220 NW L St., Ste. 750","","","","","Washington, DC 20005 USA","Washington","DC","20005","United States","202","(202)737-1944","800-545-8733","","jhanelly@americanforests.org","http://www.americanforests.org","4948000","Rebecca L. Walker","Peter Hutchins","Lea Sloan","Carolyn Boyd","Gregory Meyer"
"XRQEDB915881316","American Friends Service Committee","1501 Cherry St.","","","","","Philadelphia, PA 19102 USA","Philadelphia","PA","19102","United States","215","(215)241-7000","","","afscinfo@afsc.org","http://www.afsc.org","","Willa Streater","Shan Cretin","Mark Graham","Lee O. Neill",""
"YKCCGX173509658","American Frozen Food Institute","2000 Corporate Ridge, Ste. 1000","","","","","McLean, VA 22102 USA","McLean","VA","22102","United States","703","(703)821-0770","","(703)821-1350","info@affi.com","http://www.affi.com","","Tom Kearney","Mary Becton","Kristin Pearson Wilcox","Kristen Friend","Kraig R. Naasz"
"ITEOTF357507570","The American Geographical Society","32 Court St.","","","","","Brooklyn Heights, NY 11201 USA","Brooklyn Heights","NY","11201","United States","718","(718)624-2212","","(718)624-2239","ags@amergeog.org","http://www.amergeog.org","1603000","Jason Black","Dr. William P. Doyle","Peter G. Lewis","Marie Daly Price","Maria V. Rosa"
"CWZHKY253944825","American Geophysical Union","2000 Florida Ave. NW","","","","","Washington, DC 20009-1277 USA","Washington","DC","20009-1277","United States","202","(202)462-6900","800-966-2481","(202)328-0566","service@agu.org","http://sites.agu.org","25090000","Stan Brinkley","Cheryl Enderlein","","",""
"DCNSYH667427121","American Geosciences Institute","4220 King St.","","","","","Alexandria, VA 22302 USA","Alexandria","VA","22302","United States","703","(703)379-2480","","(703)379-7563","ls@agiweb.org","http://www.agiweb.org","6000000","Nick Tew","Travis L. Hudson","Sharon Tahirkheli","Christopher Keane","Ann E. Benbow"
"UJLTXH588386404","American Handwriting Analysis Foundation","PO Box 834","","","","","Windsor, CA 95492 USA","Windsor","CA","95492","United States","805","(805)658-0109","","","ahaf@ahafhandwriting.org","http://www.ahafhandwriting.org","","Sheila Lowe","Linda Larson","Marjorie Satren","Joan Kramer",""
"SHYIXR718665141","American Health Quality Association","7918 Jones Branch Dr., Ste. 300","","","","","McLean, VA 22102 USA","McLean","VA","22102","United States","202","(202)331-5790","","","info@ahqa.org","http://www.ahqa.org","","Todd Ketch","","","",""
"FBOVOZ522318097","American Hiking Society","1422 Fenwick Ln.","","","","","Silver Spring, MD 20910 USA","Silver Spring","MD","20910","United States","301","(301)565-6704","800-972-8608","(301)565-6714","info@americanhiking.org","http://www.americanhiking.org","","Gregory A. Miller","","","",""
"MUOLVN900631495","American Historical Association","400 A St. SE","","","","","Washington, DC 20003-3889 USA","Washington","DC","20003-3889","United States","202","(202)544-2422","","(202)544-8307","info@historians.org","http://www.historians.org","10000","Vicki L. Ruiz","Jim Grossman","Scott Sobelman","Liz Townsend","Elisabeth Grant"
"IJZRJH173388817","American Home Furnishings Alliance","1912 Eastchester Dr., Ste. 100","","","","","High Point, NC 27265 USA","High Point","NC","27265","United States","336","(336)884-5000","","(336)884-5303","","http://www.ahfa.us","30000","Rhonda Craven","Patricia Bowling","Patricia West","Jaclyn C. Hirschhaut","David Purvis"
"KYQXOK026432707","American Homeowners Grassroots Alliance","6776 Little Falls Rd.","","","","","Arlington, VA 22213-1213 USA","Arlington","VA","22213-1213","United States","","","","","ahga@americanhomeowners.org","http://www.americanhomeowners.org","","Mr. Bruce Hahn","","","",""
"PDZJFR891714678","AmericanHort","525 9th St. NW, Ste. 800","","","","","Washington, DC 20004 USA","Washington","DC","20004","United States","202","(202)789-2900","","(202)789-1893","hello@AmericanHort.org","http://americanhort.org","50000","Michael V. Geary","Craig J. Regelbrugge","","",""
"RFZEDX169029235","American Humane Association","1400 16th St. NW, Ste. 360","","","","","Washington, DC 20036 USA","Washington","DC","20036","United States","818","(818)501-0123","800-227-4645","","info@americanhumane.org","http://www.americanhumane.org","","Sonia C. Velazquez","Robin R. Ganzert","Pat Reynolds-Hubbard","Marie S. McCabe","Karen Rosa"
"LTIJWX211569593","American Institute for Conservation of Historic & Artistic Works","1156 15th St. NW, Ste. 320","","","","","Washington, DC 20005 USA","Washington","DC","20005","United States","202","(202)452-9545","","(202)452-9328","info@conservation-us.org","http://www.conservation-us.org","2082000","Ryan Winfield","Ruth Seyler","Eric Pourchot","Abigail Choudhury","Eryl P. Wentworth"
"EXOXXB550637940","American Institute for Patristic-Byzantine Studies Inc.","12 Minuet Ln.","","","","","Kingston, NY 12401 USA","Kingston","NY","12401","United States","845","(845)336-8797","","(845)331-1002","","","137636000","Dr. Constantine Tsirpanlis","","","",""
"GUNPYP435949632","American Institute of Chemists","315 Chestnut St.","","","","","Philadelphia, PA 19106-2702 USA","Philadelphia","PA","19106-2702","United States","215","(215)873-8224","","(215)629-5224","info@theaic.org","http://www.theaic.org","","Jerry Jasinski","Dr. David W. Riley","Dr. David Manuta","",""
"GURLWA596945862","American Institute of Small Business","PO Box 124","","","","","Excelsior, MN 55331 USA","Excelsior","MN","55331","United States","612","(612)567-7386","","","","http://www.ed2go.com","1000000","Max Fallek","Kris Solie-Johnson","Judy Holland","",""
"FVNONM199409782","American Institute of Steel Construction","1 E Wacker Dr., Ste. 700","","","","","Chicago, IL 60601-1802 USA","Chicago","IL","60601-1802","United States","312","(312)670-2400","","(312)670-5403","solutions@aisc.org","http://www.aisc.org","1900000","Scott Melnick","Cynthia J. Duncan","Thomas Schlafly","",""
"JCYWPN130680526","American Institute of the History of Pharmacy","777 Highland Ave.","","","","","Madison, WI 53705-2222 USA","Madison","WI","53705-2222","United States","608","(608)262-5378","","","institute@aihp.org","http://www.pharmacy.wisc.edu/aihp","15000","Dr. Elaine C. Stroud","Beth D. Fisher","Dr. Gregory J. Higby","",""
"VNCETX939161176","American Iris Society","c/o Tom Gormley, Membership Secretary","PO Box 177","","","","De Leon Springs, FL 32130 USA","De Leon Springs","FL","32130","United States","386","(386)277-2057","","(386)277-2057","terry@flowerfantasy.net","http://www.irises.org","","Tom Gormley","Susan Boyce","Michelle Snyder","Lynn Williams","Kelly D. Norris"
"NFTKOA541927286","American Judicature Society","Center Bldg.","2014 Broadway, Ste. 100","","","","Nashville, TN 37203-2425 USA","Nashville","TN","37203-2425","United States","615","(615)873-4675","800-626-4089","(615)873-4671","","http://www.ajs.org","670000","Martha Hill Jamison","Marla N. Greenstein","Laury Lieurance","Jon Comstock","Dennis Courtland Hayes"
"GNRLYJ722217012","American Kennel Club Museum of the Dogs","1721 S Mason Rd.","","","","","Saint Louis, MO 63131-1518 USA","Saint Louis","MO","63131-1518","United States","314","(314)821-3647","","(314)821-7381","","http://www.museumofthedog.org","","Gilbert S. Kahn","Barbara Jedda","","",""
"ZWKWYT017155904","American Law Institute","4025 Chestnut St.","","","","","Philadelphia, PA 19104 USA","Philadelphia","PA","19104","United States","215","(215)243-1600","","(215)243-1636","ali@ali.org","http://www.ali.org","20530000","Douglas Laycock","Allen D. Black","Richard L. Revesz","Deanne Dissinger","Julie Scribner"
"FGGFFS448476642","American Leather Chemists Association","1314 50th St., Ste. 103","","","","","Lubbock, TX 79412-2940 USA","Lubbock","TX","79412-2940","United States","806","(806)744-1798","","(806)744-1785","alca@leatherchemists.org","http://www.leatherchemists.org","","Sarah Drayna","Robert F. White","Carol Adcock","",""
"XASADD422714266","American Legion","700 N Pennsylvania St.","","","","","Indianapolis, IN 46206 USA","Indianapolis","IN","46206","United States","317","(317)630-1200","800-504-4098","(317)630-1223","acy@legion.org","http://www.legion.org","201549000","Howard Trace","Kevin Flanagan","Paul A. Morin","Ralph Bozella",""
"NHUJWB700198105","American Library Association - Social Responsibilities Round Table","50 E Huron St.","","","","","Chicago, IL 60611 USA","Chicago","IL","60611","United States","","","800-545-2433","","","http://www.ala.org/srrt/home","","Nicole Winslow","Diedre Conkling","Mike Marlin","",""
