Information here is subject to the policy as set forth by Gale in the terms and conditions found here: https://support.gale.com/terms/

Search Terms, "Directory Title ("Gale Directory of Publications and Broadcast Media") And Edition (154)  LIMITS: Database (Gale Directory of Publications and Broadcast Media)"

Document Number,Entity Name,Main Address - Street1,Main Address - Street2,Main Address - Street3,Main Address - Street4,Main Address - Street5,Composed City,City,State Code,Zip Code,Country,Telephone Area Code,Telephone Number,Toll Free Number,Fax Number,Organization Email Address,Organization Website URL
"XZYQGP143463189","Acta Pharmacologica Sinica","The Macmillan Bldg.","4 Crinan St.","","","","London N1 9XW, United Kingdom","London","","N1 9XW","United Kingdom","","44 20 783-340-00","","44 20 784-346-40","","http://www.nature.com/aps/index.html; http://www.cnphars.org/books.asp?anclassid=3%26nclassid=37; http://www.cnphars.org/en/cbkw.asp?anclassid=3%26nclassid=37"
"MQPHEQ744829728","Acta Physica Slovaca","Dubravska cesta 9","","","","","845 11 Bratislava, Slovakia","Bratislava","","845 11","Slovakia","","421 2 594-10501","","","","http://www.physics.sk/aps; http://www.fu.sav.sk/index.php?id=27"
"KCPCMA235093819","Acta Radiologica","2455 Teller Rd.","","","","","Thousand Oaks, CA 91320-2234 USA","Thousand Oaks","CA","91320-2234","United States","","","800-818-7243","","sales@pfp.sagepub.com; info@sagepub.com; journals@sagepub.com; order@sagepub.com; textbookstechsupport@sagepub.com; textsales@sagepub.com; sagetexsupport@sagepub.com; onlinesupportus@sagepub.com","http://acr.sagepub.com"
"URZQNR082898499","Acta Scientarum Polonorum - Technologia Alimentaria","Wolynska 33","","","","","60-637 Poznan, Poland","Poznan","","60-637","Poland","","","","","","http://www.food.actapol.net"
"XMJEFV341895645","Actas Dermo-Sifiliograficas","125 Park Ave., 23rd Fl.","","","","","New York, NY 10017 USA","New York","NY","10017","United States","212","(212)309-8100","","","enquiry@reedexpo.co.uk; press.office@relx.com","http://www.journals.elsevier.com/actas-dermo-sifiliograficas"
"QXPVZX921492561","Acta Sociologica","2455 Teller Rd.","","","","","Thousand Oaks, CA 91320-2234 USA","Thousand Oaks","CA","91320-2234","United States","","","800-818-7243","","acta@sociology.gu.se","http://asj.sagepub.com; http://www.uk.sagepub.com/journals/Journal201660"
"AUOVJF843926577","Acta Theologica","PO Box 339","","","","","Bloemfontein 9300, South Africa","Bloemfontein","","9300","South Africa","","27 514 019111","","","","http://apps.ufs.ac.za/kovsiejournals/default.aspx?journal=5"
"KNESCB273911617","Acta Tropica","Radarweg 29","","","","","1043 NX Amsterdam, Netherlands","Amsterdam","","1043 NX","Netherlands","","31 20 485-2222","","31 20 485-2032","amsterdam@relx.com; accommodations@relx.com; corporate.responsibility@relx.com; press.office@relx.com; london@relx.com; environmental.challenge@relx.com","http://www.journals.elsevier.com/acta-tropica"
"QKOCIP245634909","Acta Veterinaria Scandinavica","236 Gray's Inn Rd., Fl. 6","","","","","London WC1X 8HB, United Kingdom","London","","WC1X 8HB","United Kingdom","","44 20 319-220-00","","44 20 319-220-10","editor-in-chief@actavetscand.com","http://actavetscand.biomedcentral.com"
"WMPBKT957132365","Acta Veteriniaria Brno","Palackeho 1-3","","","","","612 42 Brno, Czech Republic","Brno","","612 42","Czech Republic","","420 54 156-1111","","","actavet@vfu.cz","http://actavet.vfu.cz/index.html"
"IQOHNG806411883","Acta Vulnologica","C. So Bramante 83-85","","","","","10126 Turin, Italy","Turin","","10126","Italy","","39 11 6782-82","","39 11 6745-02","minervamedica@minervamedica.it","http://www.minervamedica.it/en/journals/acta-vulnologica/index.php"
"FGSMTL786011247","Acteens Leader","100 Missionary Ridge","","","","","Birmingham, AL 35283-0010 USA","Birmingham","AL","35283-0010","United States","205","(205)991-8100","800-968-7301","(888)422-7032","customer_service@wmu.org; email@wmu.org","http://www.wmustore.com/product.asp?sku=AL"
"ABFOKN592252262","ACTION INFORMATIQUE","1100 Rene-Levesque Blvd. W, 24th Fl.","","","","","Montreal, QC, Canada H3B 4X9","Montreal","QC","H3B 4X9","Canada","514","(514)392-9000","800-361-5479","(514)392-1489","comments@theguardian.pe.ca","http://www.action-info.fr"
"NWYJKX888375098","Action in Teacher Education","11350 Random Hills Rd., Ste. 800","PMB 6","","","","Fairfax, VA 22030 USA","Fairfax","VA","22030","United States","703","(703)659-1708","","(703)595-4792","","http://www.ate1.org/pubs/Publications.cfm; http://www.tandfonline.com/toc/uate20/current"
"OJJKKM929033855","ActionLine","777 Post Rd., Ste. 205","","","","","Darien, CT 06820 USA","Darien","CT","06820","United States","203","(203)656-1522","","(203)656-0267","info@friendsofanimals.org","http://www.friendsofanimals.org/magazine"
"LFAUIO741171382","Action Research","2455 Teller Rd.","","","","","Thousand Oaks, CA 91320-2234 USA","Thousand Oaks","CA","91320-2234","United States","","","800-818-7243","","sales@pfp.sagepub.com; info@sagepub.com; journals@sagepub.com; order@sagepub.com; textbookstechsupport@sagepub.com; textsales@sagepub.com; sagetexsupport@sagepub.com; onlinesupportus@sagepub.com","http://arj.sagepub.com"
"EUFQKO032966470","The Active Age","125 S W St., Ste. 105","","","","","Wichita, KS 67213-2114 USA","Wichita","KS","67213-2114","United States","316","(316)942-5385","","","","http://theactiveage.com"
"YUPHOO777545620","Active Life","37 Sandiford Dr., Ste. 404","","","","","Stouffville, ON, Canada L4A 3Z2","Stouffville","ON","L4A 3Z2","Canada","905","(905)479-4663","800-363-4663","","info@homesmag.com","http://active-life.ca"
"KXVXOL991150821","Activities, Adaptation & Aging","80 State St.","","","","","Albany, NY 12207-2543 USA","Albany","NY","12207-2543","United States","","","","","education@routledge.com; sales@tandf.com.sg; online.sales@tandf.co.uk; book.orders@tandf.co.uk; informalaw@routledge.com","http://www.tandf.co.uk/journals/titles/01924788.asp"
"USCRLG186366190","Acton/Agua Dulce News","3413 Soledad Cyn Rd.","","","","","Acton, CA 93510-0057 USA","Acton","CA","93510-0057","United States","","","","(661)269-2139","aadnews@joycemediainc.com","http://joycemediainc.com/papers/aadmall.html"
"RSNNNA407516332","ACT! The Magazine of Greenpeace Austria","Fernkorngasse 10","","","","","1100 Vienna, Austria","Vienna","","1100","Austria","","43 154 54580","","43 154 5458098","service@greenpeace.at; office@greenpeace.at","http://www.greenpeace.org/austria/de/act-das-magazin/pdf; http://www.greenpeace.org/austria/de/act-das-magazin"
"QWIFQM929355221","Actualites Pharmaceutiques","Ste. 800, 230 Park Ave.","","","","","New York, NY 10169 USA","New York","NY","10169","United States","212","(212)989-5800","888-437-4636","(212)633-3990","support@elsevier.com","http://www.journals.elsevier.com/actualites-pharmaceutiques; http://www.elsevier-masson.fr/pharmacologie-therapeutique/actualites-pharmaceutiques-revue/zat"
"LQXZQP256902661","Ada Evening News","116 N Broadway","","","","","Ada, OK 74820 USA","Ada","OK","74820","United States","580","(580)332-4433","","","adanewspublisher@cableone.net","http://www.theadanews.com"
"OLLNNC870768680","The Ada Herald","","","","","","Ada, OH 45810 USA","Ada","OH","45810","United States","","","","","info@brownpublishing.com","http://www.adaherald.com"
"DOAOVD335416521","Adams County Record","20 E Divide St.","","","","","Bowman, ND 58623-0260 USA","Bowman","ND","58623-0260","United States","701","(701)567-2424","","(701)567-2425","adamscountyrecord@countrymedia.net","http://www.adamscountyextra.com"
"HLFIUB288275012","Ad Astra","PO Box 98106","","","","","Washington, DC 20090-8106 USA","Washington","DC","20090-8106","United States","202","(202)429-1600","","(703)435-4390","adastra@nss.org","http://www.nss.org/adastra"
"NHEKYJ449707829","Addiction","350 Main St.","Commerce Pl.","","","","Malden, MA 02148 USA","Malden","MA","02148","United States","781","(781)388-8200","","(781)388-8210","info@wiley.com; custserv@wiley.com; marketing@wiley.co.jp; customer@wiley.com","http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1360-0443; http://www.addictionjournal.org"
"FNQDCU420832327","Addiction Professional","216 E 45th St., 6th Fl.","","","","","New York, NY 10017 USA","New York","NY","10017","United States","212","(212)812-8420","800-519-3692","","sales@vendomegrp.com; adtraffic@vendomegrp.com","http://www.addictionpro.com"
"WABVFD035148359","Addiction Science and Clinical Practice","236 Gray's Inn Rd., Fl. 6","","","","","London WC1X 8HB, United Kingdom","London","","WC1X 8HB","United Kingdom","","44 20 319-220-00","","44 20 319-220-10","info@biomedcentral.com","http://ascpjournal.biomedcentral.com"
"EEFAPB733070919","ADDvantage","3535 Briarpark Dr., Ste. 202","","","","","Houston, TX 77042 USA","Houston","TX","77042","United States","","","","","uspta@uspta.org","http://addvantageuspta.com/html/Index.html"
"OKAZUF157769817","Adelaide Matters","31 Waymout St.","","","","","Adelaide, SA 5000, Australia","Adelaide","","5000","Australia","","","","","clientservices@dnb.com.au","http://www.newscorpaustralia.com/brand/adelaide-matters#; http://www.adelaidenow.com.au/lifestyle"
"QMFDJM482590066","Adelphia Cable","111 Eighth Ave.","","","","","New York, NY 10011 USA","New York","NY","10011","United States","716","(716)827-9444","888-683-1000","(716)827-3890","","http://www.adelphia.com"
"RNYZJW752295442","Adelphia Cable Communications of Niagara","2604 Seneca Ave.","","","","","Niagara Falls, NY 14305 USA","Niagara Falls","NY","14305","United States","","","","(716)297-0616","","http://www.adelphia.com"
"FJMACE596315624","Adirondac","1002 Adirondack Loj Rd.","","","","","Lake Placid, NY 12946 USA","Lake Placid","NY","12946","United States","518","(518)523-3441","800-395-8080","(518)523-3518","adk@nycap.rr.com","http://www.adk.org/category.php?pname=adirondac-magazine"
"UEWNIO521940669","Adirondack Daily Enterprise","54 Broadway","","","","","Saranac Lake, NY 12983 USA","Saranac Lake","NY","12983","United States","518","(518)891-2600","","","","http://www.adirondackdailyenterprise.com"
"ZKCYVI609828867","Adirondack Life","Rte. 9N","","","","","Jay, NY 12941-0410 USA","Jay","NY","12941-0410","United States","518","(518)946-2191","800-877-5530","(518)946-7461","","http://adirondacklifemag.com"
"QKXXWP150879685","Administration & Society","2455 Teller Rd.","","","","","Thousand Oaks, CA 91320-2234 USA","Thousand Oaks","CA","91320-2234","United States","","","800-818-7243","","sales@pfp.sagepub.com; info@sagepub.com; journals@sagepub.com; order@sagepub.com; textbookstechsupport@sagepub.com; textsales@sagepub.com; sagetexsupport@sagepub.com; onlinesupportus@sagepub.com","http://aas.sagepub.com; http://www.sagepub.com/journals/Journal200755"
"DVNGQA686861124","Administrative Eyecare","4000 Legato Rd., Ste. 700","","","","","Fairfax, VA 22033 USA","Fairfax","VA","22033","United States","703","(703)788-5777","","","asoa@asoa.org","http://www.asoa.org/administrative-eyecare"
"MNEMUY541327448","AdNews","17-21 Bellevue St.","","","","","Surry Hills, NSW 2010, Australia","Surry Hills","","2010","Australia","","61 2 9281-2333","","61 2 9281-2750","adnews@yaffa.com.au","http://www.adnews.com.au"
"EDMOFL181539146","The Adobe Journal","345 Park Ave.","","","","","San Jose, CA 95110-2704 USA","San Jose","CA","95110-2704","United States","408","(408)536-6000","","(408)537-6000","",""
"QVJXXN994240539","Adoption and Fostering","Saffron House","6-10 Kirby St.","","","","London EC1N 8TS, United Kingdom","London","","EC1N 8TS","United Kingdom","","44 20 742-126-00","","44 20 742-126-01","mail@baaf.org.uk; membership@baaf.org.uk","http://corambaaf.org.uk/bookshop/journal/about"
"DLWHDG066123085","Adoremus Bulletin","PO Box 385","","","","","La Crosse, WI 54602-0385 USA","La Crosse","WI","54602-0385","United States","608","(608)521-0385","","","info@adoremus.org","http://www.adoremus.org"
"AGCBNC062512412","AdPages Magazine","1705 Ave. K","","","","","Plano, TX 665-7314 USA","Plano","TX","665-7314","United States","","","","","e_support@apdailydeals.com; advertiser140@adpages.com; concierge@adpages.com","http://adpages.com/magazines"
"UYDZGW046464319","ADSUM","Base Valcartier, Bldg. 516","Forces Sta.","","","","Courcelette, QC, Canada G0A 4Z0","Courcelette","QC","G0A 4Z0","Canada","418","(418)844-5000","","(418)844-6934","","http://www.journaladsum.com/index_en.php"
"NEDTUD365848310","The A.D. Times","1101 Hamilton St.","","","","","Allentown, PA 18101-1043 USA","Allentown","PA","18101-1043","United States","610","(610)871-5200","","(610)439-7694","adtimes@allentowndiocese.org","http://www.allentowndiocese.org/blog"
"BSYALI264368729","Adult Education Quarterly","2455 Teller Rd.","","","","","Thousand Oaks, CA 91320-2234 USA","Thousand Oaks","CA","91320-2234","United States","","","800-818-7243","","sales@pfp.sagepub.com; info@sagepub.com; journals@sagepub.com; order@sagepub.com; textbookstechsupport@sagepub.com; textsales@sagepub.com; sagetexsupport@sagepub.com; onlinesupportus@sagepub.com","http://aeq.sagepub.com; http://intl-aeq.sagepub.comonline; http://us.sagepub.com/en-us/nam/adult-education-quarterly/journal200765"
"PRNNOB106779756","Adult Learning","Bldg. 14, Ste. 100","1827 Powers Ferry Rd.","","","","Atlanta, GA 30339 USA","Atlanta","GA","30339","United States","678","(678)271-4319","","(678)229-2777","","http://alx.sagepub.com; http://us.sagepub.com/en-us/nam/adult-learning/journal202126"
"AMDNWF362356371","Adult Learning Quarterly","Bldg. 14, Ste. 100","1827 Powers Ferry Rd.","","","","Atlanta, GA 30339 USA","Atlanta","GA","30339","United States","678","(678)271-4319","","(678)229-2777","","http://journals.sagepub.com/home/alx"
"ODGICW490348042","The Advance","321 8th St. NE","","","","","Washington, DC 20002 USA","Washington","DC","20002","United States","202","(202)546-8713","","(202)546-8913","council@cccu.org","http://www.cccu.org/news/advance/Spring_2015"
"TYPOEE937698891","Advance","218-3rd Ave. W","","","","","Melville, SK, Canada S0A 2P0","Melville","SK","S0A 2P0","Canada","","","","","","http://www.melvilleadvance.com"
"UPQHKU160779687","Advanced Biomedicine","19 W 34th St., Ste. 1018","","","","","New York, NY 10001 USA","New York","NY","10001","United States","646","(646)381-2006","","","nsp@naturalspublishing.com","http://www.naturalspublishing.com/show.asp?jorid=47%26pgid=0"
"NATPXC936703175","Advanced Chemistry Letters","26650 The Old Rd., Ste. 208","","","","","Valencia, CA 91381-0751 USA","Valencia","CA","91381-0751","United States","661","(661)799-7200","","(661)799-7230","order@aspbs.com","http://www.aspbs.com/acl"
"XOCAVU755209220","Advanced Design & Manufacturing","2901 28th St., Ste. 100","","","","","Santa Monica, CA 90405-2975 USA","Santa Monica","CA","90405-2975","United States","310","(310)445-4200","","","ubmcanonconferences@ubm.com",""
"KDWUBS152707500","Advanced Emergency Nursing Journal","Two Commerce Sq.","2001 Market St.","","","","Philadelphia, PA 19103 USA","Philadelphia","PA","19103","United States","215","(215)521-8300","800-638-3030","(215)521-8902","customerservice@lww.com; custserv@lww.com; orders@lww.com; info@lww.com","http://journals.lww.com/aenjournal/pages/default.aspx; http://www.lww.com/product/?1931-4485"
"AUGHUN633256491","Advanced Energy Materials","9600 Garsington Rd.","","","","","Oxford OX4 2DQ, United Kingdom","Oxford","","OX4 2DQ","United Kingdom","","44 1865 776-868","","44 1865 714-591","info@wiley.com; custserv@wiley.com","http://as.wiley.com/wileycda/wileytitle/productcd-e528,subjectcd-chc0.html"
"WIOIBN557460527","Advanced Engineering Informatics","Radarweg 29","","","","","1043 NX Amsterdam, Netherlands","Amsterdam","","1043 NX","Netherlands","","31 20 485-2222","","31 20 485-2032","amsterdam@relx.com; accommodations@relx.com; corporate.responsibility@relx.com; press.office@relx.com; london@relx.com; environmental.challenge@relx.com","http://www.journals.elsevier.com/advanced-engineering-informatics"
"MBQHOV649536652","Advanced Engineering Technology and Application","19 W 34th St., Ste. 1018","","","","","New York, NY 10001 USA","New York","NY","10001","United States","646","(646)381-2006","","","nsp@naturalspublishing.com","http://www.naturalspublishing.com/show.asp?jorid=12%26pgid=0"
"RMPLVG530940963","Advanced Health Care Technologies","Beechfield House","Winterton Way","","","","Macclesfield SK11 0JL, United Kingdom","Macclesfield","","SK11 0JL","United Kingdom","","44 1625 509-130","","44 1625 617-933","reprints@dovepress.com","http://www.dovepress.com/advanced-health-care-technologies-journal"
"PJROVO246911982","Advanced Journal of Education Research","2238 Pacific St., Ste. 1F","","","","","Brooklyn, NY 11233 USA","Brooklyn","NY","11233","United States","","","","","helpdesk@advancedscholarsjournals.org","http://advancedscholarsjournals.org/journal/ajer"
"SUQXAD849012636","Advanced Journal of Seed Science and Technology","2238 Pacific St., Ste. 1F","","","","","Brooklyn, NY 11233 USA","Brooklyn","NY","11233","United States","","","","","helpdesk@advancedscholarsjournals.org","http://advancedscholarsjournals.org/journal/ajsst"
"YCODCT559146876","Advanced Management Journal","OCNR 383, Unit 5808, 6300 Ocean Dr.","","","","","Corpus Christi, TX 78412-5808 USA","Corpus Christi","TX","78412-5808","United States","361","(361)825-3045","888-827-6077","(361)825-5609","moustafa.abdelsamad@tamucc.edu","http://samnational.org/publications/sam-advanced-management-journal"
"ZNYOPP405192796","Advanced Materials & Processes","9639 Kinsman Rd.","","","","","Novelty, OH 44073 USA","Novelty","OH","44073","United States","440","(440)338-5151","","","memberservicecenter@asminternational.org","http://www.asminternational.org/news/magazines/am-p; http://www.asminternational.org/news/magazines/am-p;jsessionid=17CCE1FE967EAB9D2D2B85BF8B1ABE9A"
"JAZVVP159915624","Advanced Natural Products","26650 The Old Rd., Ste. 208","","","","","Valencia, CA 91381-0751 USA","Valencia","CA","91381-0751","United States","661","(661)799-7200","","(661)799-7230","order@aspbs.com","http://www.aspbs.com/anp.htm"
"EZQPRN135572031","Advanced Research in Spectroscopy","5911 Oak Ridge Way","","","","","Lisle, IL 60532 USA","Lisle","IL","60532","United States","630","(630)397-0234","","","contact@gavinpublishers.org","http://gavinpublishers.com/portfolio/advanced-research-in-spectroscopy"
"THYVKX214122228","Advanced Research Journal of Biochemistry","2238 Pacific St., Ste. 1F","","","","","Brooklyn, NY 11233 USA","Brooklyn","NY","11233","United States","","","","","helpdesk@advancedscholarsjournals.org","http://advancedscholarsjournals.org/journal/arjb"
"NKQQAF057280198","Advanced Research Journal of Pharmacy and Pharmacology","2238 Pacific St., Ste. 1F","","","","","Brooklyn, NY 11233 USA","Brooklyn","NY","11233","United States","","","","","helpdesk@advancedscholarsjournals.org","http://advancedscholarsjournals.org/journal/arjpp"
"BOSFOA020614720","Advanced Robotics","2&4 Pk. Sq.","Milton Pk.","","","","Abingdon OX14 4RN, United Kingdom","Abingdon","","OX14 4RN","United Kingdom","","44 207-017-6000","","44 207-017-6699","enquiries@taylorandfrancis.com; support@tandfonline.com","http://www.tandfonline.com/toc/tadr20/27/11; http://www.tandfonline.com/loi/tadr20#.V5WucdKrSJA"
"BHXONB232273901","Advanced Transportation Technology News","49 Walnut Pk., Bldg. 2","","","","","Wellesley, MA 02481 USA","Wellesley","MA","02481","United States","781","(781)489-7301","866-285-7215","(781)489-7308","information@bccresearch.com; custsvc@bccresearch.com; info@bccresearch.com","http://www.bccresearch.com/market-research/advanced-transportation-technologies"
"YJIGNG155347017","ADVANCE for Health Information Professionals","2900 Horizon Dve","","","","","King of Prussia, PA 19406 USA","King of Prussia","PA","19406","United States","","","","","sales@advanceweb.com","http://health-information.advanceweb.com"
"DXDCVW312323528","ADVANCE for Long-Term Care Management","2900 Horizon Dr.","","","","","King of Prussia, PA 19406-0956 USA","King of Prussia","PA","19406-0956","United States","610","(610)278-1400","800-355-5627","","sales@advanceweb.com","http://healthcare-executive-insight.advanceweb.com/Default.aspx"
"MDZMTF196228594","ADVANCE for Nurses","2900 Horizon Dr.","","","","","King of Prussia, PA 19406-0956 USA","King of Prussia","PA","19406-0956","United States","610","(610)278-1400","800-355-5627","","sales@advanceweb.com","http://nursing.advanceweb.com"
"ADATHW240184012","Advance Magazine","602 Main St., Ste. 806","","","","","Cincinnati, OH 45202 USA","Cincinnati","OH","45202","United States","513","(513)984-9990","","","",""
"PZIFKS169751006","Advances in Algebra","c/o Young Bae Jun, Editor-in-Chief","Gyeongsang National University","Dept. of Mathematics Education","","","Chinju 660-701, South Korea","Chinju","","660-701","South Korea","","","","","info@ripublication.com; services@ripublication.com","http://www.ripublication.com/aa.htm"
"MUWSHK594466334","Advances in Animal, Zoology and Veterinary Science","1812 N Columbia Blvd., Ste. C-15","","","","","Portland, OR 97217 USA","Portland","OR","97217","United States","","","","","","http://www.ajournals.com/journals/aazvs"
"TRLNHJ357649612","Advances in Applied Mathematical Analysis","c/o Prof. Shigeyoshi Owa, Editor-in-Chief","Kinki University","Dept. of Mathematics","School of Science & Engineering","","Osaka 577-8502, Japan","Osaka","","577-8502","Japan","","","","","info@ripublication.com; services@ripublication.com","http://www.ripublication.com/aama.htm"
"DXWOSE928650939","Advances in Applied Probability","School of Mathematics & Statistics","University of Sheffield","","","","Sheffield S3 7RH, United Kingdom","Sheffield","","S3 7RH","United Kingdom","","44 11 42223920","","44 11 42729782","","http://www.appliedprobability.org/content.aspx?group=journals%26page=apjournals"
"HLGTJM897102424","Advances in Astronomy","315 Madison Ave Third Fl., Ste. 3070","","","","","New York, NY 10017 USA","New York","NY","10017","United States","","","","","aa@hindawi.com","http://www.hindawi.com/journals/aa"
"KVRMFA151270142","Advances in Biochemistry","548 Fashion Ave.","","","","","New York, NY 10018 USA","New York","NY","10018","United States","347","(347)688-8931","","","journal@sciencepublishinggroup.com","http://www.sciencepublishinggroup.com/journal/index?journalid=110"
"GWDXYW424929578","Advances in Biological Regulation","Radarweg 29","","","","","1043 NX Amsterdam, Netherlands","Amsterdam","","1043 NX","Netherlands","","31 20 485-2222","","31 20 485-2032","amsterdam@relx.com; accommodations@relx.com; corporate.responsibility@relx.com; press.office@relx.com; london@relx.com; environmental.challenge@relx.com","http://www.journals.elsevier.com/advances-in-biological-regulation"
"RDQOQU778501548","Advances in Biological Research","P-08, Omer Homes","Satyana Rd.","Bat. 15, Campus de Beaulieu","","","Faisalabad 35042, Pakistan","Faisalabad","","35042","Pakistan","","92 924-185-01147","","92 924-185-01146","idosi.editor@gmail.com; wahididosi@hotmail.com","http://www.idosi.org/abr/abr.htm"
"DMNEBM615074388","Advances in Biology, Biotechnology and Genetics","1812 N Columbia Blvd., Ste. C-15","","","","","Portland, OR 97217 USA","Portland","OR","97217","United States","","","","","","http://www.ajournals.com/journals/abbg"
"VYENAT691224406","Advances in Bioscience and Biotechnology","PO Box 54821","","","","","Irvine, CA 92619-4821 USA","Irvine","CA","92619-4821","United States","","","","","service@scirp.org","http://www.scirp.org/journal/abb"
"TQJBBC389782307","Advances in Cancer","630 Freedom Business Center Dr., 3rd Fl.","","","","","King of Prussia, PA 19406 USA","King of Prussia","PA","19406","United States","","","","(215)867-9992","contact@ibimapublishing.com","http://www.ibimapublishing.com/journals/ACRT/acrt.html"
"QALAZQ978430583","Advances in Cardiology and Cardiovascular Medicine","1812 N Columbia Blvd., Ste. C-15","","","","","Portland, OR 97217 USA","Portland","OR","97217","United States","","","","","","http://www.ajournals.com/journals/accm"
"IMMWCJ947248619","Advances in Cell Biology","Bogumila Zuga 32a St.","","","","","01-811 Warsaw, Poland","Warsaw","","01-811","Poland","","48 22 701-5015","","","info@versita.com","http://www.degruyter.com/view/j/acb"
"AODRIJ795381500","Advances in Chemical Engineering and Science","PO Box 54821","","","","","Irvine, CA 92619-4821 USA","Irvine","CA","92619-4821","United States","","","","","service@scirp.org","http://www.scirp.org/journal/aces"
"MJWPGU348213001","Advances in Chemistry and Biochemistry Sciences","1812 N Columbia Blvd., Ste. C-15","","","","","Portland, OR 97217 USA","Portland","OR","97217","United States","","","","","","http://www.ajournals.com/journals/acbs"
"UIOPJS551671468","Advances in Clinical Neuroscience & Rehabilitation","1 The Lynch","","","","","Mere BA12 6DQ, United Kingdom","Mere","","BA12 6DQ","United Kingdom","","","","44 798-947-0278","sales@acnr.co.uk; email.rachael@acnr.co.uk","http://www.acnr.co.uk"
"CAFTKD234084903","Advances in Colloid and Interface Science","Radarweg 29","","","","","1043 NX Amsterdam, Netherlands","Amsterdam","","1043 NX","Netherlands","","31 20 485-2222","","31 20 485-2032","amsterdam@relx.com; accommodations@relx.com; corporate.responsibility@relx.com; press.office@relx.com; london@relx.com; environmental.challenge@relx.com","http://www.journals.elsevier.com/advances-in-colloid-and-interface-science"
"PLSBMH441223476","Advances in Complex Systems","27 Warren St., Ste. 401-402","","","","","Hackensack, NJ 07601 USA","Hackensack","NJ","07601","United States","201","(201)487-9655","800-227-7562","(201)487-9656","wspc@wspc.com","http://www.worldscientific.com/worldscinet/acs"
"AQTWJN388551039","Advances in Computational Research","B-23 /7, Kendriya Vihar, Sector-11, Kharghar","Sector-12, Kharghar","","","","Mumbai 410210, India","Mumbai","","410210","India","","91 22 2774-3967","","91 22 2774-3967","editor@bioinfopublication.org","http://www.bioinfopublication.org/journal.php?opt=azjou%26jouid=BPJ0000187; http://bioinfopublication.org/journal.php?opt=index%26jouid=BPJ0000187"
"SXLGCL487484914","Advances in Computational Sciences and Technology","c/o Marwan Al-Akaidi, Assoc. Ed.","De Montfort University","Engineering & Technology","","","Leicester LE1 9BH, United Kingdom","Leicester","","LE1 9BH","United Kingdom","","","","","info@ripublication.com; services@ripublication.com","http://www.ripublication.com/acst.htm"
"ZSMHUP480588190","Advances in Condensed Matter Physics","315 Madison Ave Third Fl., Ste. 3070","","","","","New York, NY 10017 USA","New York","NY","10017","United States","","","","","acmp@hindawi.com","http://www.hindawi.com/journals/acmp"
"ETPFAF734106223","Advances in Data Analysis and Classification","Tiergartenstrasse 17","","","","","69121 Heidelberg, Germany","Heidelberg","","69121","Germany","","49 6221 4870","","","customerservice@springer.com","http://www.springer.com/statistics/statistical+theory+and+methods/journal/11634"
"LBUGXN985345858","Advances in Data Science and Adaptive Analysis","27 Warren St., Ste. 401-402","","","","","Hackensack, NJ 07601 USA","Hackensack","NJ","07601","United States","201","(201)487-9655","800-227-7562","(201)487-9656","wspc@wspc.com","http://www.worldscinet.com/aada/aada.shtml"
"YGQIAI099234037","Advances in Developing Human Resources","2455 Teller Rd.","","","","","Thousand Oaks, CA 91320-2234 USA","Thousand Oaks","CA","91320-2234","United States","","","800-818-7243","","sales@pfp.sagepub.com; info@sagepub.com; journals@sagepub.com; order@sagepub.com; textbookstechsupport@sagepub.com; textsales@sagepub.com; sagetexsupport@sagepub.com; onlinesupportus@sagepub.com","http://adh.sagepub.com"
"PTMNJA980014022","Advances in Engineering Software","Radarweg 29","","","","","1043 NX Amsterdam, Netherlands","Amsterdam","","1043 NX","Netherlands","","31 20 485-2222","","31 20 485-2032","amsterdam@relx.com; accommodations@relx.com; corporate.responsibility@relx.com; press.office@relx.com; london@relx.com; environmental.challenge@relx.com","http://www.journals.elsevier.com/advances-in-engineering-software"
"XXHOOZ108851197","Advances in Entomology","PO Box 54821","","","","","Irvine, CA 92619-4821 USA","Irvine","CA","92619-4821","United States","","","","","service@scirp.org","http://www.scirp.org/journal/ae"
"ZEYWPK846952521","Advances in Environmental Biology","Biological Dept.","Al Hussein Bin Talal University","","","","Ma'an, Jordan","Ma'an","","71111","Jordan","","962 273-05196","","","","http://www.aensiweb.com/AEB"
"JSQVCK171339054","Advances in Fuzzy Mathematics","B-2/84, Ground Fl., Rohini Sec-16","","","","","New Delhi 110089, India","New Delhi","","110089","India","","91 11 6539-4240","","91 11 2729-7815","info@ripublication.com; services@ripublication.com","http://www.ripublication.com/afm.htm"
"MZCESJ289199717","Advances in Genomics and Genetics","Beechfield House","Winterton Way","","","","Macclesfield SK11 0JL, United Kingdom","Macclesfield","","SK11 0JL","United Kingdom","","44 1625 509-130","","44 1625 617-933","reprints@dovepress.com","http://www.dovepress.com/advances-in-genomics-and-gene-expression-journal"
"CVDIRW390251496","Advances in Human-Computer Interaction","315 Madison Ave Third Fl., Ste. 3070","","","","","New York, NY 10017 USA","New York","NY","10017","United States","","","","","ahci@hindawi.com","http://www.hindawi.com/journals/ahci"
"JJXAWM488677413","Advances in Industrial Engineering and Management","26650 The Old Rd., Ste. 208","","","","","Valencia, CA 91381-0751 USA","Valencia","CA","91381-0751","United States","661","(661)799-7200","","(661)799-7230","aiem.asp@hotmail.com","http://www.aspbs.com/aiem.htm"
