Information here is subject to the policy as set forth by Gale in the terms and conditions found here: https://support.gale.com/terms/

Search Terms, "Directory Title ("Encyclopedia of Associations: National Organizations of the U.S.") And Edition (57)  LIMITS: Database (Encyclopedia of Associations: National Organizations of the U.S...."

Document Number,Entity Name,Main Address - Street1,Main Address - Street2,Main Address - Street3,Main Address - Street4,Main Address - Street5,Composed City,City,State Code,Zip Code,Country,Telephone Area Code,Telephone Number,Toll Free Number,Fax Number,Organization Email Address,Organization Website URL
"VLGRTI721189900","National Association of Dog Obedience Instructors (NADOI)","7910 Picador Dr.","","","","","Houston, TX 77083-4918 USA","Houston","TX","77083-4918","United States","972","(972)296-1196","","","info@nadoi.org","http://www.nadoi.org; http://www.facebook.com/NADOI; http://twitter.com/NADOIORG"
"PRMIUX408281346","National Association of Investigative Specialists (NAIS)","PO Box 82148","","","","","Austin, TX 78708-2148 USA","Austin","TX","78708-2148","United States","512","(512)719-3595","","(512)719-3594","","http://www.pimall.com/nais"
"WBVNBH587576493","National Association of School Music Dealers, Inc. (NASMD)","14070 Proton Rd., Ste. 100","","","","","Dallas, TX 75244 USA","Dallas","TX","75244","United States","972","(972)233-9107","","(972)490-4219","office@nasmd.com","http://www.nasmd.com"
"AIQBUF640689169","National Association of University-Model Schools (NAUMS)","103 N 1st St.","","","","","Midlothian, TX 76065 USA","Midlothian","TX","76065","United States","972","(972)525-7005","888-485-8525","(888)506-6597","info@naums.net","http://www.naums.net"
"BZCVSJ207619163","National Birth Defects Prevention Network (NBDPN)","1321 Upland Dr., Ste. 1561","","","","","Houston, TX 77043 USA","Houston","TX","77043","United States","404","(404)498-3918","","","nbdpn@nbdpn.org","http://www.nbdpn.org; http://www.facebook.com/nbdpn?navtitle=idxpubs; http://twitter.com/nbdpn"
"ADHUPV240063910","National Board for Colon Hydrotherapy (NBCHT)","11103 San Pedro Ave., Ste. 117","","","","","San Antonio, TX 78216 USA","San Antonio","TX","78216","United States","210","(210)308-8288","","","homeoffice@nbcht.org","http://www.nbcht.org"
"TTEPWW540644326","National Business Association (NBA)","5151 Beltline Rd., Ste. 106","","","","","Carrollton, TX 75006 USA","Carrollton","TX","75006","United States","","","800-456-0440","(972)960-9149","database@nationalbusiness.org","http://nationalbusiness.org; http://www.facebook.com/National-Business-Association-153044648048676; http://www.linkedin.com/groups/3384772/profile"
"BQQACF196808314","National Center for Policy Analysis (NCPA)","14180 Dallas Pky., Ste. 350","","","","","Dallas, TX 75254 USA","Dallas","TX","75254","United States","972","(972)386-6272","","","media@ncpa.org","http://www.ncpa.org; http://www.facebook.com/NationalCenterforPolicyAnalysis; http://www.linkedin.com/company/248722; http://twitter.com/NCPA"
"OBBEJD087174621","National Chief Petty Officers' Association (NCPOA)","c/o Richard A. Oubre, Treasurer","5730 Misty Glen","","","","San Antonio, TX 78247-1373 USA","San Antonio","TX","78247-1373","United States","210","(210)637-6304","","","","http://www.ncpoa.club"
"ODDVJO538249688","National Coalition of Associations of 7-Eleven Franchisees (NCASEF)","1001 Pat Booker Rd., Ste. 206","","","","","Universal City, TX 78148 USA","Universal City","TX","78148","United States","702","(702)249-3301","","","nationaloffice@ncasef.com","http://ncasef.com"
"AAACWM927157659","National Coalition of Independent Scholars (NCIS)","PO Box 120182","","","","","San Antonio, TX 78212 USA","San Antonio","TX","78212","United States","","","","","info@ncis.org","http://www.ncis.org; http://www.facebook.com/groups/NationalCoalitionofIndependentScholars; http://www.linkedin.com/groups/1779384/profile; http://twitter.com/NCISorg"
"JORBFL956019995","National Collegiate Baseball Writers Association (NCBWA)","c/o Russell Anderson, Associate Executive Director","Conference USA","5201 N O'Connor Blvd., Ste. 300","","","Irving, TX 75039 USA","Irving","TX","75039","United States","214","(214)418-6132","","","","http://www.sportswriters.net/ncbwa"
"YPLKXW277312707","National Colorbred Association (NCA)","c/o Henry Vela, Treasurer","620 Arawe Cir. E","","","","Irving, TX 75060 USA","Irving","TX","75060","United States","","","","","","http://www.nationalcolorbred.com; http://www.facebook.com/NationalColorbredAssociation"
"QZZIZK593304591","National Council of Lawyer Disciplinary Boards (NCLDB)","1414 Colorado St., Ste. 610","","","","","Austin, TX 78701 USA","Austin","TX","78701","United States","","","","","jordanh@ladb.org","http://www.ncldb.org"
"KMYEUY737227979","National Cursillo Movement (NCM)","PO Box 799","","","","","Jarrell, TX 76537 USA","Jarrell","TX","76537","United States","512","(512)746-2020","","(512)746-2030","admin@natl-cursillo.org","http://www.natl-cursillo.org"
"RYLQEG251616272","National Electronics Service Dealers Association (NESDA)","3000-A Landers St.","","","","","Fort Worth, TX 76107-5642 USA","Fort Worth","TX","76107-5642","United States","817","(817)921-9061","","(817)921-3741","info@nesda.com","http://nesda.com; http://www.facebook.com/TVRepairPros"
"MQRWDB567516645","National Firearms Act Trade and Collectors Association (NFATCA)","20603 Big Wells Dr.","","","","","Katy, TX 77449-6269 USA","Katy","TX","77449-6269","United States","281","(281)492-8288","866-897-0182","","info@nfatca.org","http://www.nfatca.org; http://www.facebook.com/NFATCA; http://www.linkedin.com/groups/113592/profile; http://twitter.com/nfatca"
"YYNUBJ623145997","National Football Foundation and College Hall of Fame, Inc. (NFF)","433 E Las Colinas Blvd., Ste. 1130","","","","","Irving, TX 75039 USA","Irving","TX","75039","United States","972","(972)556-1000","","(972)556-9032","membership@footballfoundation.com","http://www.footballfoundation.com; http://www.facebook.com/NFFNetwork; http://twitter.com/NFFNetwork"
"YTOWAW860305904","National Foster Parent Association (NFPA)","1102 Prairie Ridge Trl.","","","","","Pflugerville, TX 78660 USA","Pflugerville","TX","78660","United States","","","800-557-5238","(888)925-5634","info@nfpaonline.org","http://nfpaonline.org; http://www.facebook.com/nationalfosterparentassociation; http://www.linkedin.com/company/1233268; http://twitter.com/NFPAOnline"
"EZQCYP215696200","National Gardening Association (NGA)","5452 County Road 1405","","","","","Jacksonville, TX 75766 USA","Jacksonville","TX","75766","United States","","","","","","http://www.garden.org; http://www.facebook.com/Garden.Org; http://twitter.com/NatlGardening"
"JARJKV116183419","National Independent Automobile Dealers Association (NIADA)","2521 Brown Blvd.","","","","","Arlington, TX 76006-5203 USA","Arlington","TX","76006-5203","United States","817","(817)640-3838","800-682-3837","(817)649-5866","info@niada.com","http://www.niada.com; http://www.facebook.com/NationalIndependentAutomobileDealersAssociation; http://www.linkedin.com/company/1010092; http://twitter.com/_NIADA"
"WRDYCL247823110","National Institute of Packaging, Handling and Logistics Engineers (NIPHLE)","5903 Ridgeway Dr.","","","","","Grand Prairie, TX 75052 USA","Grand Prairie","TX","75052","United States","817","(817)466-7490","","","admin@niphle.com","http://www.niphle.com; http://www.facebook.com/National-Institute-of-Packaging-Handling-and-Logistics-Engineers-176995448985976; http://www.linkedin.com/groups/2245559/profile; http://twitter.com/niphle"
"SPDXYB017827764","National Jewish Committee on Scouting (NJCS)","Boy Scouts of America","PO Box 152079","","","","Irving, TX 75015-2091 USA","Irving","TX","75015-2091","United States","972","(972)580-2000","","","info@jewishscouting.org","http://www.jewishscouting.org; http://www.facebook.com/National-Jewish-Committee-on-Scouting-111328265762; http://twitter.com/jewishscouting"
"WJATBJ272736320","National Junior Santa Gertrudis Association (NJSGA)","PO Box 1257","","","","","Kingsville, TX 78364 USA","Kingsville","TX","78364","United States","361","(361)592-9357","","(361)592-8572","","http://www.santagertrudis.com/njsga.html; http://www.facebook.com/National-Junior-Santa-Gertrudis-Association-200662430013117"
"JXXFQX966864568","National Kindergarten Alliance (NKA)","c/o Penny Pillack, President","PO Box 309","","","","Agua Dulce, TX 78330 USA","Agua Dulce","TX","78330","United States","","","","(361)998-2333","ppillack@aol.com","http://www.nkateach.org"
"JUGPVX699425059","National Medical Malpractice Advocacy Association (NMMAA)","9119 Hwy. 6, Ste. 230","","","","","Missouri City, TX 77459 USA","Missouri City","TX","77459","United States","","","800-379-1054","","nammv1988@gmail.com","http://www.nmmaa.org; http://www.facebook.com/nmma2015"
"ZNKDLZ677980506","National Oil and Acrylic Painters' Society (NOAPS)","PO Box 690411","","","","","Houston, TX 77269 USA","Houston","TX","77269","United States","479","(479)899-4961","","","executivenoaps.org@gmail.com","http://www.noaps.org; http://www.facebook.com/National-Oil-Acrylic-Painters-Society-153593704703871; http://twitter.com/NOAPSociety"
"XZAPXM682311322","National Organization for Mexican American Rights, Inc. (NOMAR)","c/o Dan J. Solis, President","PO Box 681205","","","","San Antonio, TX 78268-1205 USA","San Antonio","TX","78268-1205","United States","210","(210)520-1831","","(210)520-1831","president@nomarinc.org","http://www.nomarinc.org"
"MJBEXF820966111","National Organization of Hispanics in Criminal Justice (NOHCJ)","PO Box 19748","","","","","Austin, TX 78760 USA","Austin","TX","78760","United States","512","(512)708-0647","","","","http://www.nohcj.org"
"DCGAKP289594961","National Public Parks Tennis Association (NPPTA)","c/o Ron Melvin, President","13925 FM 1346","","","","Saint Hedwig, TX 78152 USA","Saint Hedwig","TX","78152","United States","","","","","","http://www.nppta.com"
"ACZJTV452142536","National Search Dog Alliance (NSDA)","1302 Waugh Dr., Ste. 121","","","","","Houston, TX 77019 USA","Houston","TX","77019","United States","360","(360)808-0894","","","snelling@olypen.com","http://www.n-sda.org; http://www.facebook.com/NSDA-169017188403"
"GGZCHH749968429","National Student Employment Association (NSEA)","9600 Escarpment Blvd., Ste. 745, PMB 11","","","","","Austin, TX 78749 USA","Austin","TX","78749","United States","512","(512)423-1417","","(972)767-5131","nsea@nsea.info","http://www.nsea.info; http://www.facebook.com/nsea.info; http://www.linkedin.com/groups/82841/profile; http://twitter.com/nsea_info"
"SYMASS633800386","National Truckers Association (NTA)","3131 Turtle Creek Blvd., Ste. 1120","","","","","Dallas, TX 75219 USA","Dallas","TX","75219","United States","","","800-823-8454","","info@nationaltruckers.com","http://www.nationaltruckers.com"
"CYQUAW705374873","National World War II Glider Pilots Association (NWWIIGPA)","6596 FM 1681","","","","","Stockdale, TX 78160 USA","Stockdale","TX","78160","United States","","","","","ww2gp@aol.com","http://www.ww2gp.org/index.php; http://www.facebook.com/NationalWW2GliderPilotAssociation; http://twitter.com/NWW2GPA"
"CQBHET354390464","Nicotine Anonymous World Services (NAWS)","6333 E Mockingbird Ln., No. 147-817","","","","","Dallas, TX 75214 USA","Dallas","TX","75214","United States","469","(469)737-9304","877-879-6422","","info@nicotine-anonymous.org","http://nicotine-anonymous.org"
"FCUMSC319807030","NOAH Nature Alliance","PO Box 6768","","","","","San Antonio, TX 78209 USA","San Antonio","TX","78209","United States","210","(210)826-0599","","(210)824-3161","info@noahnaturealliance.org","http://www.noahna.org; http://www.facebook.com/NOAH-Nature-Alliance-432546440076; http://www.linkedin.com/company/noah-nature-alliance; http://twitter.com/noahnature"
"CIKYDF561509185","North American Strategy for Competitiveness (NASCO)","4347 W Northwest Hwy., Ste. 130-250 ","","","","","Dallas, TX 75220 USA","Dallas","TX","75220","United States","214","(214)744-1042","","","info@nasconetwork.com","http://nasconetwork.com; http://twitter.com/nasconetwork"
"YLSYVE122960104","Nouris International","4029 Dellman Dr.","","","","","Roanoke, TX 76262 USA","Roanoke","TX","76262","United States","","","","","",""
"NJTYAO222779745","Omega Delta Phi Fraternity (ODPhi)","8111 Mainland, Ste. 104-417","","","","","San Antonio, TX 78240 USA","San Antonio","TX","78240","United States","206","(206)234-6424","","","marketing@omegadeltaphi.com","http://www.omegadeltaphi.com"
"TGSEPQ483093600","Optical Women's Association (OWA)","14070 Proton Rd., Ste. 100","","","","","Dallas, TX 75244 USA","Dallas","TX","75244","United States","972","(972)233-9107","","","office@opticalwomen.com","http://www.opticalwomen.com; http://www.facebook.com/opticalwomen; http://www.linkedin.com/company/10787865; http://twitter.com/opticalwomen"
"WAXIWM556092113","Order of Americans of Armorial Ancestry (OAAA)","c/o Deborah Lee Wilhite, Registrar/ Genealogist General","1101 West Red Oak Rd.","","","","Red Oak, TX 75154-3937 USA","Red Oak","TX","75154-3937","United States","888","(888)672-6720","","","dwilhite179@gmail.com","http://www.armorial.us"
"SIASJY862756196","Organization for Research on Women and Communication (ORWAC)","Dept. of Communication Studies","Southwestern University","1001 E University Ave.","","","Georgetown, TX 78626 USA","Georgetown","TX","78626","United States","","","","","ORWACSocial@gmail.com","http://www.orwac.org; http://www.facebook.com/ORWAC"
"ZZTCBL488660919","Original Doll Artists Council of America (ODACA)","c/o Donna Sims, Treasurer","105 Cedar Ln.","","","","Channelview, TX 77530 USA","Channelview","TX","77530","United States","","","","","info@odaca.org","http://www.odaca.org; http://www.facebook.com/ODACA.org; http://twitter.com/ODACA_Artists"
"NHYZBM710436048","OV-10 Bronco Association (OBA)","3300 Ross Ave.","","","","","Fort Worth, TX 76106-3646 USA","Fort Worth","TX","76106-3646","United States","","","800-575-0535","","","http://www.ov-10bronco.net/OBA"
"METOUP201883268","Pan-American Alumni Association","1201 W University Dr., UC108","","","","","Edinburg, TX 78541 USA","Edinburg","TX","78541","United States","956","(956)381-2500; (956)665-2005; (956)665-5396","","(956)381-2385","alumni@utpa.edu","http://www.utpaalumni.com; http://portal.utpa.edu/utpa_main/daa_home/library_home"
"YRRSOF139355933","Pan-American Association of Ophthalmology (PAAO)","1301 S Bowen Rd., Ste. 450","","","","","Arlington, TX 76013 USA","Arlington","TX","76013","United States","817","(817)275-7553","","(817)275-3961","info@paao.org","http://www.paao.org; http://www.facebook.com/Pan-American-Association-of-Ophthalmology-337299841590; http://www.linkedin.com/groups/3036569/profile; http://twitter.com/paao_vision"
"JFHMNR092980782","Para Sa Bata","11331 Cedar Springs Dr.","","","","","Frisco, TX 75035 USA","Frisco","TX","75035","United States","469","(469)579-4544","","","parasabata@gmail.com","http://sites.google.com/site/parasabata/home"
"AXRJKP789029466","PBCers Organization","1430 Garden Rd.","","","","","Pearland, TX 77581 USA","Pearland","TX","77581","United States","346","(346)302-1620","","","pbcsite@pbcers.org","http://pbcers.org; http://www.facebook.com/PBCersOrg"
"IFZBOL522579685","Phi Chi Theta","1508 E Belt Line Rd., Ste. 104","","","","","Carrollton, TX 75006 USA","Carrollton","TX","75006","United States","972","(972)245-7202","","","executivedirector@phichitheta.org","http://www.phichitheta.org"
"UAYSHH956013966","Photomedicine Society","c/o Jo Urquhart, Administrative Coordinator","Dept. of Dermatology","UT Southwestern Medical Center","5323 Harry Hines Blvd.","","Dallas, TX 75390-9069 USA","Dallas","TX","75390-9069","United States","","","","(214)648-5556","photomed@utsouthwestern.edu","http://www.photomedicine.org"
"BYNRVV458012178","Pink Door Nonprofit Organization","PO Box 6990","","","","","Houston, TX 77265-6990 USA","Houston","TX","77265-6990","United States","832","(832)727-3121","","","info@pinkdoornonprofit.org","http://www.pinkdoornonprofit.org; http://www.facebook.com/pinkdoornonprofitorganization; http://www.twitter.com/pink_door"
"JDVOPY040250899","Plastics Pipe Institute (PPI)","105 Decker Ct., Ste. 825","","","","","Irving, TX 75062 USA","Irving","TX","75062","United States","469","(469)499-1044","","(469)499-1063","","http://plasticpipe.org; http://www.facebook.com/plasticspipeinstitute; http://www.linkedin.com/company/2487385"
"YMQPLV375868019","Preemptive Love Coalition (PLC)","1300 Darbyton Dr.","","","","","Hewitt, TX 76643 USA","Hewitt","TX","76643","United States","254","(254)400-2033","","","info@preemptivelove.org","http://preemptivelove.org; http://www.facebook.com/preemptivelove"
"YPMADM438458606","Probe Ministries International (PMI)","2001 W Plano Pky., Ste. 2000","","","","","Plano, TX 75075 USA","Plano","TX","75075","United States","972","(972)941-4565","","","info@probe.org","http://www.probe.org; http://www.facebook.com/probe.ministries; http://twitter.com/ProbeMinistries"
"EETNAZ858484593","Procurement and Supply Chain Benchmarking Association (PASBA)","4606 FM 1960 Rd. W, Ste. 250","","","","","Houston, TX 77069-9949 USA","Houston","TX","77069-9949","United States","281","(281)440-5044","","(281)440-6677","","http://pasba.com"
"CPXQJZ806060946","Production Engine Remanufacturers Association (PERA)","3931 Kelsey Ct.","","","","","Grapevine, TX 76051-6414 USA","Grapevine","TX","76051-6414","United States","817","(817)243-2646","","","info@pera.org","http://www.pera.org; http://www.facebook.com/PERAUSA"
"MHHQQE252393629","Professional Aerial Photographers Association International (PAPA)","12069 Cessna Pl.","","","","","Brookshire, TX 77423 USA","Brookshire","TX","77423","United States","713","(713)721-6523; (713)721-6593","800-373-2135","(713)721-6586","","http://professionalaerialphotographers.com; http://www.facebook.com/Professional-Aerial-Photographers-Association-International-1564065593818722"
"AJHQOL195476961","Professional Sporting Clays Association (PSCA)","9219 Katy Fwy., Ste. 291","","","","","Houston, TX 77024 USA","Houston","TX","77024","United States","512","(512)771-4982","","","info@psca.com","http://www.psca.com; http://www.facebook.com/PSCAtour; http://twitter.com/PSCATOUR"
"GNZGVO822130573","Progressive Technology Project (PTP)","PO Box 303190","","","","","Austin, TX 78703 USA","Austin","TX","78703","United States","612","(612)724-2600","866-298-6463","","","http://www.progressivetech.org; http://www.facebook.com/progressivetech; http://twitter.com/ptptweets"
"IMMYBH340636111","Pro-Moskitia Foundation of Nicaragua","2435 Oak Crest","","","","","Austin, TX 78704 USA","Austin","TX","78704","United States","512","(512)444-8640","","(512)443-1212","promoskitianica@gmail.com","http://promoskitia.org"
"GLCATJ482214802","Quartus Foundation for Spiritual Research (QFSR)","PO Box 1768","","","","","Boerne, TX 78006 USA","Boerne","TX","78006","United States","830","(830)249-3985","","","quartus@quartus.org","http://www.quartus.org; http://www.facebook.com/quartus.org"
"JIQJWI965212338","Rainforest Partnership","800 W 34th St., Ste. 105","","","","","Austin, TX 78705 USA","Austin","TX","78705","United States","512","(512)420-0101","","","info@rainforestpartnership.org","http://www.rainforestpartnership.org; http://www.facebook.com/rainforestpartnership; http://twitter.com/rainforestprtnr"
"YDAXFK881917937","Research and Development Associates for Military Food and Packaging Systems (RDAMFPS)","16607 Blanco Rd., Ste. 1103","","","","","San Antonio, TX 78232 USA","San Antonio","TX","78232","United States","210","(210)493-8024","","(210)493-8036","hqs@militaryfood.org","http://militaryfood.org/newsite; http://www.facebook.com/RDA16607"
"COKSJZ944072394","Research Society on Alcoholism (RSA)","7801 N Lamar Blvd., Ste. D-89","","","","","Austin, TX 78752-1038 USA","Austin","TX","78752-1038","United States","512","(512)454-0022","","(512)454-0812","rsastaff@sbcglobal.net","http://www.rsoa.org"
"GJVCLW208539272","Retail Print Music Dealers Association (RPMDA)","14070 Proton Rd., Ste. 100","","","","","Dallas, TX 75244 USA","Dallas","TX","75244","United States","972","(972)233-9107","","(972)490-4219","office@printmusic.org","http://printmusic.org; http://www.facebook.com/groups/rpmda/; http://twitter.com/rpmda"
"HRPETR722876327","RGK Foundation","1301 W 25th St., Ste. 300","","","","","Austin, TX 78705-4248 USA","Austin","TX","78705-4248","United States","512","(512)474-9298","","(512)474-7281","","http://www.rgkfoundation.org"
"KEVDUB944525155","Roving Volunteers in Christ's Service (RVICS)","1800 SE 4th St.","","","","","Smithville, TX 78957-2906 USA","Smithville","TX","78957-2906","United States","","","800-727-8914","","","http://www.rvics.com"
"BZXBAX168192886","Secret Society of Happy People (SOHP)","240 N Denton Tap Rd., PMB 112","","","","","Coppell, TX 75019 USA","Coppell","TX","75019","United States","972","(972)459-7031","","","","http://www.sohp.com; http://www.facebook.com/happysociety"
"QAZATK407602662","Sewa International U.S.A.","PO Box 820867","","","","","Houston, TX 77082-0867 USA","Houston","TX","77082-0867","United States","708","(708)872-7392","","","info@sewausa.org","http://www.sewausa.org; http://www.facebook.com/sewausa; http://www.twitter.com/sewausa"
"PFQAMG461847142","Sigma Sigma Phi","c/o Deborah Ann Brimelow, Executive Director/Secretary-Treasurer","PO Box 4096","","","","Cedar Park, TX 78613 USA","Cedar Park","TX","78613","United States","512","(512)553-1705; (512)528-5874","","","dataubert54@gmail.com","http://www.sigmasigmaphi.org"
"QVFIHI969738202","Society for Advancement of Management (SAM)","OCNR 383, Unit 5808, 6300 Ocean Dr.","","","","","Corpus Christi, TX 78412-5808 USA","Corpus Christi","TX","78412-5808","United States","361","(361)825-3045","888-827-6077","(361)825-5609","moustafa.abdelsamad@tamucc.edu","http://www.samnational.org; http://www.facebook.com/SAMnational; http://www.linkedin.com/company/10604158"
"WPZLWN360223569","Society for Color and Appearance in Dentistry (SCAD)","5116 Bissonnet St., No. 394","","","","","Bellaire, TX 77401 USA","Bellaire","TX","77401","United States","281","(281)687-8752","","(877)255-6075","info@scadent.org","http://www.scadent.org"
"XLYBZX066695464","Society for Freshwater Science (SFS)","5400 Bosque Blvd., Ste. 680","","","","","Waco, TX 76710 USA","Waco","TX","76710","United States","254","(254)399-9636","","(254)776-3767","sfs@sgmeet.com","http://www.freshwater-science.org"
"CAOVEB862673856","Society for Pediatric Research (SPR)","3400 Research Forest Dr., Ste. B-7","","","","","The Woodlands, TX 77381 USA","The Woodlands","TX","77381","United States","346","(346)980-9710","","(281)419-0082","info@aps-spr.org","http://www.aps-spr.org/home.asp; http://www.facebook.com/American-Pediatric-SocietySociety-for-Pediatric-Research-268013953221800; http://twitter.com/APS_SPR"
"OMQZHG274577812","Society for Physician Assistants in Pediatrics (SPAP)","PO Box 90434","","","","","San Antonio, TX 78209 USA","San Antonio","TX","78209","United States","614; 210","(614)824-2102; (210)722-7622","","(614)824-2103","spap@spaponline.org","http://www.spaponline.org; http://www.facebook.com/societyforphysicianassistantsinpediatrics; http://twitter.com/spapediatrics"
"KZHRRB427404953","Society for the History of Discoveries (SHD)","c/o Dr. Mylynka Kilgore Cardona, Executive Secretary – SHD, 1140 Domain Dr., Ste. 5104","","","","","Austin, TX 78758 USA","Austin","TX","78758","United States","650","(650)591-1601","","","secretary@sochistdisc.org","http://www.sochistdisc.org"
"AJWQEF779171991","Society for the Preservation and Advancement of the Harmonica (SPAH)","PO Box 551381","","","","","Dallas, TX 75355 USA","Dallas","TX","75355","United States","","","","","info@spah.org","http://www.spah.org; http://www.facebook.com/SPAH63"
"GGFZMN416326056","Society of Composers, Inc. (SCI)","PO Box 687","","","","","Mineral Wells, TX 76068-0687 USA","Mineral Wells","TX","76068-0687","United States","","","","","secretary@societyofcomposers.org","http://www.societyofcomposers.org; http://www.facebook.com/SocCompInc; http://twitter.com/soccompinc"
"NZCGGU542719586","Society of Herbarium Curators (SHC)","3380 University Dr. E","","","","","College Station, TX 77845 USA","College Station","TX","77845","United States","979","(979)845-4328","","(979)889-9898","SocietyHerbariumCurators@gmail.com","http://www.herbariumcurators.org; http://www.facebook.com/herbariumcurators; http://www.linkedin.com/in/michaelbravothomas; http://twitter.com/socherbcurators"
"GAMESZ590325561","Society of Independent Professional Earth Scientists (SIPES)","4925 Greenville Ave., Ste. 1106","","","","","Dallas, TX 75206 USA","Dallas","TX","75206","United States","214","(214)363-1780","","(214)363-8195","sipes@sipes.org","http://sipes.org; http://www.facebook.com/SIPESorganization"
"TXDZPW763626580","Society of Infectious Diseases Pharmacists (SIDP)","823 Congress Ave., Ste. 230","","","","","Austin, TX 78701-2435 USA","Austin","TX","78701-2435","United States","512","(512)328-8632","","(512)495-9031","","http://www.sidp.org; http://twitter.com/SIDPharm"
"SZPQDN142674888","Society of Philippine Surgeons in America, Inc. (SPSA)","c/o Edward E. Quiros, MD, Website Editor","PO Box 5284","","","","Borger, TX 79008 USA","Borger","TX","79008","United States","","","","","applynow@spspatoday.com","http://www.spsatoday.com"
"VXAVRX724951901","Southwest Celtic Music Association (SCMA)","2528 Elm St., Ste. B","","","","","Dallas, TX 75226-1472 USA","Dallas","TX","75226-1472","United States","214","(214)821-4173","","","president@scmatx.org","http://www.scmatx.org"
"OXHFGQ417657379","Southwestern Association of Naturalists (SWAN)","c/o Michael Dixon, Treasurer","Deptment of Biology","Angelo State University","","","San Angelo, TX 76909 USA","San Angelo","TX","76909","United States","201","(201)991-9090","","","swan03@ou.edu","http://www.biosurvey.ou.edu/swan; http://www.facebook.com/SouthwesternAssociationOfNaturalistsSWAN"
"RLGBEF496255459","Sparkles of Life","11569 Hwy. 6 S, Ste. 148","","","","","Sugar Land, TX 77498 USA","Sugar Land","TX","77498","United States","281","(281)397-3260","","","info@sparklesofife.org","http://sparklesoflife.org"
"RKIUIJ195191503","SpineHope","PO Box 684261","","","","","Austin, TX 78768 USA","Austin","TX","78768","United States","512","(512)750-0788","","","beth@spinehope.org","http://spinehope.org; http://www.facebook.com/SpineHope; http://www.linkedin.com/company/spinehope; http://twitter.com/spinehope"
"OWIQKK734637098","Sportscar Vintage Racing Association (SVRA)","1598 Hart St., Ste. 100","","","","","Southlake, TX 76092 USA","Southlake","TX","76092","United States","817","(817)521-5158","","(817)953-3550","","http://www.svra.com; http://www.facebook.com/sportscarvintageracing"
"UQJQEJ617771421","Standard Schnauzer Club of America (SSCA)","c/o Lynne Schuneman, Membership Chairperson","2903 Dry Hollow Dr.","","","","Kerrville, TX 78028-8051 USA","Kerrville","TX","78028-8051","United States","","","","","","http://www.standardschnauzer.org"
"XKOLOZ391342357","Student National Pharmaceutical Association (SNPhA)","PO Box 761388","","","","","San Antonio, TX 78245 USA","San Antonio","TX","78245","United States","210","(210)383-7381","","(210)579-1059","contactsnpha@snpha.org","http://snpha.org; http://www.facebook.com/snpha; http://twitter.com/SNPhA"
"GBMQJS112381475","Student Veterinary Emergency and Critical Care Society (SVECCS)","6335 Camp Bullis Rd., Ste. 12","","","","","San Antonio, TX 78257-9721 USA","San Antonio","TX","78257-9721","United States","210","(210)698-5575","","","sveccsML2@gmail.com","http://www.sveccs.org; http://www.facebook.com/home.php?sk=group_118202948217590"
"KQXGKP038956110","Susan G. Komen","5005 LBJ Freeway, Ste. 250","","","","","Dallas, TX 75244 USA","Dallas","TX","75244","United States","","","877-465-6636","","Helpline@komen.org","http://ww5.komen.org"
"DGETGQ883107637","Tall Clubs International (TCI)","1555 CR 2103","","","","","Weimar, TX 78962 USA","Weimar","TX","78962","United States","","","","","tcifoundationscholarships@gmail.com","http://www.tall.org; http://www.facebook.com/groups/8267051046/members"
"PMVNJU971345574","Tau Sigma Delta (TSD)","c/o John P. White, Texas Tech College of Architecture, 3016 Flint Ave.","","","","","Lubbock, TX 79409 USA","Lubbock","TX","79409","United States","","","","","john.white@ttu.edu","http://www.tausigmadelta.org; http://www.facebook.com/pages/Tau-Sigma-Delta/807472022702259; http://www.linkedin.com/company/tau-sigma-delta"
"KFEROT174303363","Technology Transfer Society (T2S)","2005 Arthur Ln.","","","","","Austin, TX 78704 USA","Austin","TX","78704","United States","","","","","t2s@t2society.org","http://www.cisalpino.eu/t2scontacts.html"
"QCSAHD116625806","Texas A&M University - Commerce Alumni Association (TAMUCAA)","1706 Stonewall","","","","","Commerce, TX 75429 USA","Commerce","TX","75429","United States","903","(903)886-5765","866-268-4844","(903)886-5768","","http://www.tamuc.edu/aboutUs/alumni/default.aspx; http://www.facebook.com/tamucalumni; http://www.twitter.com/tamucalumni"
"OOVVUS680080942","Texas Alliance of Energy Producers","900 8th St., Ste. 400","","","","","Wichita Falls, TX 76301 USA","Wichita Falls","TX","76301","United States","","","","","","http://www.nesanet.org/Home; http://www.facebook.com/TexasAllianceEP; http://twitter.com/texasallianceep"
"WZVCEV207114435","Textile Exchange","511 S 1st St.","","","","","Lamesa, TX 79331 USA","Lamesa","TX","79331","United States","806","(806)428-3411","","","membership@textileexchange.org","http://textileexchange.org; http://www.facebook.com/TextileExchange; http://www.twitter.com/TextileExchange"
"HDOHPI361023860","Therapet Animal Assisted Therapy Foundation","PO Box 130118","","","","","Tyler, TX 75713 USA","Tyler","TX","75713","United States","903","(903)535-2125","","(903)535-2037","therapetaat@gmail.com","http://www.therapet.com; http://www.facebook.com/therapetaat; http://twitter.com/therapetaat"
